@relation "cora-ATVYOall"

@attribute author string
@attribute year string
@attribute title string
@attribute venue string
@attribute other string
@attribute all string
@attribute class {'aha1987', 'aha1989', 'aha1990', 'aha1991', 'aha1992', 'ahlskog1994a', 'asfahl1992a', 'auer1995a', 'benford1993a', 'benford1994a', 'benford1995a', 'benford1995b', 'blum1993', 'blum1994', 'brodley1992', 'brodley1992b', 'brodley1994', 'brodley1995', 'brown1992a', 'buth1992a', 'callan1991', 'callan1991aaai', 'cardie1993', 'carlson1993a', 'caruana1993', 'cesa-bianchi1993', 'cesa-bianchi1994', 'cesa-bianchi1994b', 'cesa-bianchi1996', 'cesa-bianchi1997', 'chapman1987', 'chapman1991', 'cheng1996', 'clark1993', 'cleeremans1989', 'clouse1992', 'cohen1998', 'conery1981', 'conery1983', 'conery1985', 'conery1985a', 'conery19xx', 'connel1987', 'connell1987', 'cramer1985a', 'craven1993', 'daelemans1995a', 'danyluk1993', 'dasarathy1991', 'datta1992', 'datta1995', 'deb1989a', 'dempster1977a', 'dietterich1996', 'dill1997a', 'dill1997b', 'draper1994', 'drucker1992', 'drucker1993', 'druker1992', 'dutta1988a', 'ehrenfeucht1988', 'ehrenfeucht1989', 'fahle1981a', 'fahle1991a', 'fahle1992a', 'fahle1993a', 'fahle1995a', 'fahle1997a', 'fahlen1993a', 'fahlman1974a', 'fahlman1979a', 'fahlman1980a', 'fahlman1981a', 'fahlman1981b', 'fahlman1985a', 'fahlman1987a', 'fahlman1988a', 'fahlman1988b', 'fahlman1990a', 'fahlman1990b', 'fahlman1991a', 'fahlman1991b', 'fahlman1991c', 'fahlman1993a', 'fahlman1993b', 'fahlman1996a', 'fahln1993a', 'fawcett1991', 'fawcett1992', 'fayyad1993', 'feder1995', 'forchheimer1983a', 'frankel1994a', 'freund0000a', 'freund1990', 'freund1992a', 'freund1992b', 'freund1992c', 'freund1993a', 'freund1993b', 'freund1993c', 'freund1995a', 'freund1995b', 'freund1995c', 'freund1995d', 'freund1995e', 'freund1995f', 'freund1996a', 'freund1996b', 'freund1996c', 'freund1996d', 'freund1996e', 'freund1997a', 'freund1997b', 'freund1997c', 'freund1997d', 'goldman1989', 'goldman1990', 'goldman1990a', 'goldman1990c', 'goldman1991', 'goldman1993', 'goldman1993a', 'goldman1995', 'hall1989', 'hampson1993', 'hampson1995', 'haussler1988', 'haussler1991', 'haussler1991c', 'haussler1991p', 'haussler1992', 'haussler1994', 'haussler1994a', 'haussler1996', 'helmbold1995', 'helmbold1995a', 'helmbold1996', 'helmbold1996a', 'helmbold1997', 'helmbold1997c', 'hendren1992a', 'herzog1995a', 'hoehfeld1992a', 'hu1996', 'huffman1993', 'johnson1982', 'jordan1993', 'kaelbling1993', 'kautz1993', 'kautz1995', 'kearns1987', 'kearns1987b', 'kearns1988', 'kearns1988a', 'kearns1988b', 'kearns1989', 'kearns1989a', 'kearns1990', 'kearns1990b', 'kearns1990c', 'kearns1992a', 'kearns1992c', 'kearns1993a', 'kearns1993b', 'kearns1993c', 'kearns1994a', 'kearns1994b', 'kearns1994c', 'kearns1994cryp', 'kearns1994d', 'kearns1994e', 'kearns1995a', 'kearns1995b', 'kearns1996a', 'kearns1996b', 'kearns1997a', 'kearns1997b', 'kearns1997c', 'kearns1998', 'kearns1999a', 'kearns1999b', 'kelly1991andjunk', 'kibler1978', 'kibler1981', 'kibler1983', 'kibler1985', 'kibler1988', 'kibler1988a', 'kibler1989', 'kibler1993', 'knoop1992a', 'knopp1992a', 'kriegel1993a', 'langendoen1992a', 'langley1986', 'lewis1996', 'littlestone', 'mccallum1993', 'mcdonald1987a', 'mehra1998', 'minton1992', 'mitchell1981', 'mitchell1983', 'mitchell1983ijcai', 'mitchell1993', 'mitchell1993ebl', 'mladenic', 'mladenic1993', 'moss1997', 'musick1992', 'nilsson1994', 'norvig1992', 'ortega1995andjunk', 'ourston1994', 'pazzani1990', 'pazzani1992', 'pfahler1997a', 'poggio1992a', 'poggio1992b', 'pope1992a', 'porter1986', 'quinlan1993', 'ragavan1993', 'rivest1987', 'rivest1987d', 'rivest1989', 'rivest1992', 'rivest1993', 'rivest1994', 'ruby1989', 'ruby1991', 'ruby1991a', 'ruby1992', 'rudy1992', 'rymon1993', 'safford1993', 'schapire', 'schapire1988', 'schapire1989', 'schapire1990', 'schapire1990[', 'schapire1990e', 'schapire1991', 'schapire1991l', 'schapire1992', 'schapire1992a', 'schapire1993', 'schapire1994', 'schapire1996', 'schapire1996p', 'schapire1997', 'schapire1997u', 'schapire1997um', 'schapire1998', 'schapire1998mm', 'schmill1998', 'schwartz1993', 'shapiro1980a', 'skiblics1996', 'sklansky1976', 'standish1976', 'steele1984a', 'steele1990a', 'stone1977', 'sudholt1992a', 'thrun1991a', 'torgo1990', 'torgo1995', 'utgoff1982aaai', 'utgoff1983', 'utgoff1984phd', 'utgoff1986book', 'utgoff1986mlii', 'utgoff1987', 'utgoff1988aaai', 'utgoff1988iid', 'utgoff1988pt', 'utgoff1989', 'utgoff1989mlw', 'utgoff1989pt', 'utgoff1989rp', 'utgoff1990', 'utgoff1991aaai', 'utgoff1991lmdt', 'utgoff1991mdt', 'utgoff1994', 'utgoff1995', 'utgoff1996', 'utgoff1996ks', 'utgoff1996mlii', 'utgoff1996va', 'utgoff1997', 'utgoff1997fa', 'utgoff1998', 'vitek1992a', 'walter1987a', 'webber1994', 'weber1994', 'weiss1993a', 'white1994a', 'wholey1984a', 'yee1990', 'zheng1993'}


@data
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "1988.", "A general lower bound on the number of examples needed for learning.", "Technical Report UCSC-CRL-87-26,", "University of California, Computer Research Laboratory, Santa Cruz, CA, Jan-uary", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Technical Report UCSC-CRL-87-26, University of California, Computer Research Laboratory, Santa Cruz, CA, Jan-uary 1988.", 'ehrenfeucht1988'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "", "A general lower bound on the number of examples needed for learning.", "In COLT 88: Proceedings of the Conference on Learning,", "pages 110-120, Los Altos, CA, 1988. Morgan-Kaufmann.", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. In COLT 88: Proceedings of the Conference on Learning, pages 110-120, Los Altos, CA, 1988. Morgan-Kaufmann.", 'ehrenfeucht1988'
"A. Ehrenfeucht, D. Haussler, M. Kearns and L. G. Valiant,", "1988)", "A General Lower Bound on the Number of Examples Needed for Learning,", "in: Proceedings of the First Workshop on Computational Learning Theory (Morgan Kaufmann,", "San Mateo, CA, 139-154.", "A. Ehrenfeucht, D. Haussler, M. Kearns and L. G. Valiant, A General Lower Bound on the Number of Examples Needed for Learning, in: Proceedings of the First Workshop on Computational Learning Theory (Morgan Kaufmann, San Mateo, CA, 1988) 139-154.", 'ehrenfeucht1988'
"Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L.,", "1988,", "A General Lower Bound on the Number of Examples Needed for Learning,", "Proceedings of the 1988 Workshop on Computational Learning Theory,", "Morgan Kaufmann, p. 139-154.", "Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L., A General Lower Bound on the Number of Examples Needed for Learning, Proceedings of the 1988 Workshop on Computational Learning Theory, Morgan Kaufmann, 1988, p. 139-154.", 'ehrenfeucht1988'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "", "A general lower bound on the number of examples needed for learning.", "Proc. of the 1988 Workshop on Computational Learning Theory,", "In D. Haussler and L. Pitt, editors, San Jose, 1988. Morgan Kaufmann.", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. In D. Haussler and L. Pitt, editors, Proc. of the 1988 Workshop on Computational Learning Theory, San Jose, 1988. Morgan Kaufmann.", 'ehrenfeucht1988'
"A. Ehrenfeucht, D. Haussler, M. Kearns. L.G. Valiant.", "1988,", "A general lower bound on the number of examples needed for learning.", "33 Proceedings of the 1988 Workshop on Computational Learning Theory,", "Morgan Kaufmann Publishers, pp. 139-154.", "A. Ehrenfeucht, D. Haussler, M. Kearns. L.G. Valiant. A general lower bound on the number of examples needed for learning. 33 Proceedings of the 1988 Workshop on Computational Learning Theory, Morgan Kaufmann Publishers, 1988, pp. 139-154.", 'ehrenfeucht1988'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82 247-261,", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82 247-261, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L.G. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3) 247-251,", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L.G. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3) 247-251, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3) 247-251,", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3) 247-251, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Inf. and Computation,", "82(3) 247-266,", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Inf. and Computation, 82(3) 247-266, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L.G. Valiant,", "(1989).", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3) 247-251.", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L.G. Valiant, (1989). A general lower bound on the number of examples needed for learning. Information and Computation, 82(3) 247-251.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns M., & Valiant, L.G.", "(1989).", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82, 247-261.", "Ehrenfeucht, A., Haussler, D., Kearns M., & Valiant, L.G. (1989). A general lower bound on the number of examples needed for learning. Information and Computation, 82, 247-261.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M. J., and Valiant, L.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82 247-261.", "Ehrenfeucht, A., Haussler, D., Kearns, M. J., and Valiant, L. 1989. A general lower bound on the number of examples needed for learning. Information and Computation, 82 247-261.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M., & Valiant, L. G.", "(1989).", "A General Lower Bound on the Number of Examples Needed for Learning.", "Information and Computation,", "82, 247-261.", "Ehrenfeucht, A., Haussler, D., Kearns, M., & Valiant, L. G. (1989). A General Lower Bound on the Number of Examples Needed for Learning. Information and Computation, 82, 247-261.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M., & Valiant, L.G.", "(1989).", "A General Lower Bound on the Number of Examples Needed for Learning.", "Information and Computation 82,", "pp. 247-261.", "Ehrenfeucht, A., Haussler, D., Kearns, M., & Valiant, L.G. (1989). A General Lower Bound on the Number of Examples Needed for Learning. Information and Computation 82, pp. 247-261.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L.", "(1989).", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82 247-261.", "Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L. (1989). A general lower bound on the number of examples needed for learning. Information and Computation, 82 247-261.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L.", "(1989).", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82 267-284.", "Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L. (1989). A general lower bound on the number of examples needed for learning. Information and Computation, 82 267-284.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L.", "(1989).", "A general lower bound on the number of examples needed for learning.", "Information and Control 82,", "", "Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L. (1989). A general lower bound on the number of examples needed for learning. Information and Control 82, (3):247-261.", 'ehrenfeucht1989'
"Ehrenfeucht, Andrzej; Haussler, David; Kearns, Michael; and Valiant,", "", "Leslie 1989. A general lower bound on the number of examples needed for learning.", "Information and Computation 82", "247-261.", "Ehrenfeucht, Andrzej; Haussler, David; Kearns, Michael; and Valiant, Leslie 1989. A general lower bound on the number of examples needed for learning. Information and Computation 82 247-261.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "", "A general lower bound on the number of examples needed for learning,", "Information and Computation,", "82 (3) (1989), 247-261.", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning, Information and Computation, 82 (3) (1989), 247-261.", 'ehrenfeucht1989'
"Andrzej Ehrenfeucht, David Haussler, Michael Kearns, and Leslie Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82 247-261,", "Andrzej Ehrenfeucht, David Haussler, Michael Kearns, and Leslie Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82 247-261, 1989.", 'ehrenfeucht1989'
"Andrzej Ehrenfeucht, David Haussler, Michael Kearns, and Leslie Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3) 247-251, September", "Andrzej Ehrenfeucht, David Haussler, Michael Kearns, and Leslie Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3) 247-251, September 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L.G. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning. Information and Computation,", "", "82(3):247251,", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L.G. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3):247251, 1989.", 'ehrenfeucht1989'
"Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L.", "", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "vol. 82 (1989), pp. 247-261.", "Ehrenfeucht, A., Haussler, D., Kearns, M., and Valiant, L. A general lower bound on the number of examples needed for learning. Information and Computation, vol. 82 (1989), pp. 247-261.", 'ehrenfeucht1989'
"Andrzej Ehrenfeucht, David Haussler, Michael Kearns, and Leslie Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3) 247-251,", "Andrzej Ehrenfeucht, David Haussler, Michael Kearns, and Leslie Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3) 247-251, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns. L.G. Valiant.", "1989,", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3), pp. 247-261.", "A. Ehrenfeucht, D. Haussler, M. Kearns. L.G. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3), 1989, pp. 247-261.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Control,", "82(3) 247-251,", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Information and Control, 82(3) 247-251, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. J. Kearns and L. G. Valiant.", "1989.", "A General Lower Bound on the Number of Examples Needed for Learning.", "Information and Computation,", "82(3) 247-251,", "A. Ehrenfeucht, D. Haussler, M. J. Kearns and L. G. Valiant. A General Lower Bound on the Number of Examples Needed for Learning. Information and Computation, 82(3) 247-251, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. J. Kearns, and L. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning. Information and Computation,", "", "82:247261,", "A. Ehrenfeucht, D. Haussler, M. J. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82:247261, 1989.", 'ehrenfeucht1989'
"A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant.", "1989.", "A general lower bound on the number of examples needed for learning.", "Information and Computation,", "82(3) 247-251, September", "A. Ehrenfeucht, D. Haussler, M. Kearns, and L. Valiant. A general lower bound on the number of examples needed for learning. Information and Computation, 82(3) 247-251, September 1989.", 'ehrenfeucht1989'
"M. Feder, Y. Freund, and Y. Mansour.", "1995.", "Optimal universal learning and prediction of probabilistic concepts.", "In Proc. of IEEE Information Theory Conference,", "page 233. IEEE,", "M. Feder, Y. Freund, and Y. Mansour. Optimal universal learning and prediction of probabilistic concepts. In Proc. of IEEE Information Theory Conference, page 233. IEEE, 1995.", 'feder1995'
"M. Feder, Yoav Freund and Yishay Mansour,", "", "Optimal Universal Learning and Prediction of Probabilistic Concepts,", "", "to appear in Proc. IEEE Information Theory Conference, 1995; Published by IEEE. 13", "M. Feder, Yoav Freund and Yishay Mansour, Optimal Universal Learning and Prediction of Probabilistic Concepts, to appear in Proc. IEEE Information Theory Conference, 1995; Published by IEEE. 13", 'feder1995'
"Yoav Freund and Robert E. Schapire.", "", "Adaptive game playing using multiplicative weights. Games and Economic Behavior,", "", "(to appear).", "Yoav Freund and Robert E. Schapire. Adaptive game playing using multiplicative weights. Games and Economic Behavior, (to appear).", 'freund0000a'
"Yoav Freund.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proceedings of the Third Annual Workshop on Computational Learning Theory,", "pages 202-216, August", "Yoav Freund. Boosting a weak learning algorithm by majority. In Proceedings of the Third Annual Workshop on Computational Learning Theory, pages 202-216, August 1990.", 'freund1990'
"Freund, Y.", "(1990),", "Boosting a weak learning algorithm by majority,", "in \"Proceedings of the Third Annual Workshop on Computational Learning Theory\",", "pp. 202-216. To appear in Information and Computation.", "Freund, Y. (1990), Boosting a weak learning algorithm by majority, in \"Proceedings of the Third Annual Workshop on Computational Learning Theory\", pp. 202-216. To appear in Information and Computation.", 'freund1990'
"Freund, Y.", "(1990),", "Boosting a weak learning algorithm by majority,", "in Proceedings of the Third Annual Workshop on Computational Learning Theory,", "pp. 202-216. To appear in Information and Computation.", "Freund, Y. (1990), Boosting a weak learning algorithm by majority, in Proceedings of the Third Annual Workshop on Computational Learning Theory, pp. 202-216. To appear in Information and Computation.", 'freund1990'
"Freund, Y.", "(1990),", "Boosting a weak learning algorithm by majority,", "in `Proceedings of the Third Annual Workshop on Computational Learning Theory',", "pp. 202-216.", "Freund, Y. (1990), Boosting a weak learning algorithm by majority, in `Proceedings of the Third Annual Workshop on Computational Learning Theory', pp. 202-216.", 'freund1990'
"Freund, Y.", "(1990).", "Boosting a weak learning algorithm by majority.", "In 3rd annual workshop on computational learning theory,", "pages 202-216.", "Freund, Y. (1990). Boosting a weak learning algorithm by majority. In 3rd annual workshop on computational learning theory, pages 202-216.", 'freund1990'
"Freund, Y.", "(1990).", "Boosting a weak learning algorithm by majority.", "In Proceedings of the Third Annual Workshop on Computational Learning Theory,", "(pp. 202-216), Rochester, NY. Morgan Kaufmann.", "Freund, Y. (1990). Boosting a weak learning algorithm by majority. In Proceedings of the Third Annual Workshop on Computational Learning Theory, (pp. 202-216), Rochester, NY. Morgan Kaufmann.", 'freund1990'
"Freund, Y.", "(1990).", "Boosting a weak learning algorithm by majority.", "Proc. 3rd Work. Comp. Learning Theory (pp.", "202-216).", "Freund, Y. (1990). Boosting a weak learning algorithm by majority. Proc. 3rd Work. Comp. Learning Theory (pp. 202-216).", 'freund1990'
"Freund, Y.", "(1990).", "Boosting a weak learning algorithm by majority.", "Proceedings of the Third Annual Workshop on Computational Learning Theory (pp.", "202-216). San Francisco: Morgan Kaufmann.", "Freund, Y. (1990). Boosting a weak learning algorithm by majority. Proceedings of the Third Annual Workshop on Computational Learning Theory (pp. 202-216). San Francisco: Morgan Kaufmann.", 'freund1990'
"Freund, Y.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proceedings of the Third Workshop on Computational Learning Theory,", "San Mateo, CA. Morgan Kaufmann. 202-216.", "Freund, Y. 1990. Boosting a weak learning algorithm by majority. In Proceedings of the Third Workshop on Computational Learning Theory, San Mateo, CA. Morgan Kaufmann. 202-216.", 'freund1990'
"Y. Freund.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proc. 3rd Work. Comp. Learning Theory,", "pages 202-216,", "Y. Freund. Boosting a weak learning algorithm by majority. In Proc. 3rd Work. Comp. Learning Theory, pages 202-216, 1990.", 'freund1990'
"Yoav Freund.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proceedings of the Third Annual Workshop on Computational Learning Theory,", "pages 202-216. Morgan Kaufmann,", "Yoav Freund. Boosting a weak learning algorithm by majority. In Proceedings of the Third Annual Workshop on Computational Learning Theory, pages 202-216. Morgan Kaufmann, 1990.", 'freund1990'
"Yoav Freund.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proc. of the 3rd Ann. Workshop on Comput. Learning Theory,", "pages 202-216. Morgan Kaufmann, August", "Yoav Freund. Boosting a weak learning algorithm by majority. In Proc. of the 3rd Ann. Workshop on Comput. Learning Theory, pages 202-216. Morgan Kaufmann, August 1990.", 'freund1990'
"Yoav Freund.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proceedings of the Third Annual Workshop on Computational Learning Theory,", "pages 202-216. Morgan Kaufmann, August 22", "Yoav Freund. Boosting a weak learning algorithm by majority. In Proceedings of the Third Annual Workshop on Computational Learning Theory, pages 202-216. Morgan Kaufmann, August 1990. 22", 'freund1990'
"Freund, Y.,", "1990.", "Boosting a weak learning algorithm by majority,", "Proceedings of the 1990 Workshop on Computational Learning Theory, p.", "202-231., August", "Freund, Y., Boosting a weak learning algorithm by majority, Proceedings of the 1990 Workshop on Computational Learning Theory, p. 202-231., August 1990.", 'freund1990'
"Freund, Y.,", "1990.", "Boosting a Weak Learning Algorithm by Majority Voting,", "Proceedings of the 3rd Annual Workshop on Computational Learning Theory,", "pp. 202-216,", "Freund, Y., Boosting a Weak Learning Algorithm by Majority Voting, Proceedings of the 3rd Annual Workshop on Computational Learning Theory, pp. 202-216, 1990.", 'freund1990'
"Y. Freund.", "1990.", "Boosting a weak learning algorithm by majority.", "In Proceedings of the 1990 Workshop on Computational Learning Theory,", "pages 202-231, San Mateo, CA, August Morgan Kaufmann. 34 References", "Y. Freund. Boosting a weak learning algorithm by majority. In Proceedings of the 1990 Workshop on Computational Learning Theory, pages 202-231, San Mateo, CA, August 1990. Morgan Kaufmann. 34 References", 'freund1990'
"Y. Freund.", "", "Boosting a weak learning algorithm by majority.", "In Proceedings of the Third Workshop on Computational Learning Theory,", "pages 202-216, San Mateo, CA, 1990. Morgan Kaufmann.", "Y. Freund. Boosting a weak learning algorithm by majority. In Proceedings of the Third Workshop on Computational Learning Theory, pages 202-216, San Mateo, CA, 1990. Morgan Kaufmann.", 'freund1990'
"Y. Freund, H. S. Seung, E. Shamir, and N. Tishby.", "", "Information, prediction, and query by committee.", "In Advances in Neural Informations Processing Systems 5,", "San Mateo, CA, 1992. Morgan Kaufmann.", "Y. Freund, H. S. Seung, E. Shamir, and N. Tishby. Information, prediction, and query by committee. In Advances in Neural Informations Processing Systems 5, San Mateo, CA, 1992. Morgan Kaufmann.", 'freund1992a'
"Yoav Freund, H. Sebastian Seung, Eli Shamir, and Naftali Tishby.", "1993.", "Information, prediction, and query by committee.", "Advances in Neural Information Processing Systems,", "In Stephen Jose Hanson, Jack D. Cowan, and C. Lee Giles, editors, volume 5, pages 483-490. Morgan Kaufmann, San Mateo, CA,", "Yoav Freund, H. Sebastian Seung, Eli Shamir, and Naftali Tishby. Information, prediction, and query by committee. In Stephen Jose Hanson, Jack D. Cowan, and C. Lee Giles, editors, Advances in Neural Information Processing Systems, volume 5, pages 483-490. Morgan Kaufmann, San Mateo, CA, 1993.", 'freund1992a'
"Freund Y., Seung H.S., Shamir E. and Tishby N.", "(1995).", "Information, prediction, and query by committee.", "preprint.", "", "Freund Y., Seung H.S., Shamir E. and Tishby N. (1995). Information, prediction, and query by committee. preprint.", 'freund1992a'
"Freund, Y., Seung, H. S., Shamir, E., & Tishby, N.", "(1993).", "Information, prediction, and query by committee.", "Advances in Neural Information Processing Systems,", "In Hanson, S. J., Cowan, J. D., & Giles, C. L. (Eds.), volume 5, (pp. 483-490). Morgan Kaufmann, San Mateo, CA.", "Freund, Y., Seung, H. S., Shamir, E., & Tishby, N. (1993). Information, prediction, and query by committee. In Hanson, S. J., Cowan, J. D., & Giles, C. L. (Eds.), Advances in Neural Information Processing Systems, volume 5, (pp. 483-490). Morgan Kaufmann, San Mateo, CA.", 'freund1992a'
"Freund, Y., Seung, H., Shamir, E. & Tishby, N.", "(1993),", "Information, prediction, and query by committee,", "in `Advances in Neural Information Processing Systems',", "Vol. 5, Morgan Kaufmann, San Mateo, California.", "Freund, Y., Seung, H., Shamir, E. & Tishby, N. (1993), Information, prediction, and query by committee, in `Advances in Neural Information Processing Systems', Vol. 5, Morgan Kaufmann, San Mateo, California.", 'freund1992a'
"Freund, Y., Seung, H., Shamir, E., and Tishby, N.", "(1993).", "Information, prediction and query by comittee.", "Advances in Neural Information Processing Systems,", "In Hanson, S. J., Cowan, J. D., and Giles, C. L., editors, volume 5, pages 483-490, San Mateo, CA. Morgan Kaufmann.", "Freund, Y., Seung, H., Shamir, E., and Tishby, N. (1993). Information, prediction and query by comittee. In Hanson, S. J., Cowan, J. D., and Giles, C. L., editors, Advances in Neural Information Processing Systems, volume 5, pages 483-490, San Mateo, CA. Morgan Kaufmann.", 'freund1992a'
"Freund, Y.; Seung, H.S.; Shamir, E.; and Tishby, N.", "1992.", "Information, prediction, and query by committee.", "In Advances in Neural Informations Processing Systems 5,", "San Mateo, CA. Morgan Kaufmann. 483-490.", "Freund, Y.; Seung, H.S.; Shamir, E.; and Tishby, N. 1992. Information, prediction, and query by committee. In Advances in Neural Informations Processing Systems 5, San Mateo, CA. Morgan Kaufmann. 483-490.", 'freund1992a'
"Y. Freund, H. S. Seung, E. Shamir and N. Tishby.", "", "(1993) Information, prediction, and query by committee.", "", "", "Y. Freund, H. S. Seung, E. Shamir and N. Tishby. (1993) Information, prediction, and query by committee.", 'freund1992a'
"Y. Freund, H. S. Seung, E. Shamir and N. Tishby.", "", "(1993) Information, prediction, and query by committee.", "Advances in Neural Information Processing Systems 5,", "In S. Hanson et al., eds., Morgan Kaufmann, San Francisco, CA.", "Y. Freund, H. S. Seung, E. Shamir and N. Tishby. (1993) Information, prediction, and query by committee. In S. Hanson et al., eds., Advances in Neural Information Processing Systems 5, Morgan Kaufmann, San Francisco, CA.", 'freund1992a'
"Y. Freund, H.S. Seung, E. Shamir, and N. Tishby.", "", "Information, prediction, and query by committee.", "In Advances in Neural Informations Processing Systems 5,", "pages 483-490, San Mateo, CA, 1992. Morgan Kaufmann.", "Y. Freund, H.S. Seung, E. Shamir, and N. Tishby. Information, prediction, and query by committee. In Advances in Neural Informations Processing Systems 5, pages 483-490, San Mateo, CA, 1992. Morgan Kaufmann.", 'freund1992a'
"Y. Freund, H. S. Seung, E. Shamir, and N. Tishby.", "", "Information, prediction, and query by committee.", "In Advances in Neural Information Processing Systems 5,", "San Mateo, CA, 1992. Morgan Kaufmann.", "Y. Freund, H. S. Seung, E. Shamir, and N. Tishby. Information, prediction, and query by committee. In Advances in Neural Information Processing Systems 5, San Mateo, CA, 1992. Morgan Kaufmann.", 'freund1992a'
