@relation "citeseer-reinforcement"

@attribute reference string
@attribute class {'279', '51', '54', '57', '201', '204', '123', '522', '441', '360', '207', '126', '525', '444', '363', '282', '447', '285', '369', '63', '66', '69', '210', '3', '213', '6', '450', '216', '9', '135', '453', '372', '291', '138', '456', '459', '378', '72', '75', '78', '300', '303', '141', '222', '306', '144', '225', '462', '381', '309', '147', '228', '465', '384', '468', '387', '81', '84', '150', '231', '315', '153', '234', '471', '390', '318', '156', '237', '474', '159', '396', '477', '12', '399', '15', '18', '90', '96', '240', '321', '402', '162', '324', '405', '165', '246', '327', '408', '480', '249', '483', '486', '21', '24', '27', '330', '411', '171', '252', '333', '414', '174', '255', '336', '417', '177', '339', '492', '495', '498', '33', '36', '39', '102', '501', '105', '420', '504', '261', '342', '423', '507', '183', '264', '345', '426', '267', '348', '189', '42', '45', '111', '510', '114', '513', '117', '270', '351', '432', '516', '192', '273', '354', '435', '519', '195', '276', '357', '438'}


@data
"T. Jaakkola, S.P. Singh, and M.I. Jordan. Reinforcement learning algorithm for partially observable Markov decision problems. In Advances in Neural Information Processing Systems 7. Morgan Kaufmann, 1995.", '192'
"Jaakkola, T., Singh, S. P., and Jordan, M. I. (1995). Reinforcement learning algorithm for partially observable Markov decision problems. In Tesauro, G., Touretzky, D. S., and Leen, T. K., editors, Advances in Neural Information Processing Systems 7, pag", '192'
"Satinder Pal Singh, Tommi Jaakkola, and Michael I. Jordan. Model-free reinforcement learning for non-markovian decision problems. In The Proceedings of the Eleventh International Machine Learning Conference. Morgan Kaufmann Publisher", '195'
"Satinder Pal Singh, Tommi Jaakkola, and Michael I. Jordan. Model-free reinforcement learning for non-Markovian decision problems. In Proceedings of the Eleventh International Conference on Machine Learning, pages 284-292, San Francisco, California,", '195'
"Singh, Satinder Pal; Jaakkola, Tommi; and Jordan, Michael I. 1994. Model-free reinforcement learning for non-markovian decision problems. In Proceedings of the Machine Learning Conference. To appear.", '195'
"Heger, Matthias 1994. Consideration of risk in reinforcement learning. In Proceedings of the Machine Learning Conference. To appear.", '201'
"Heger, M. (1994). Consideration of risk in reinforcement learning. In Proceedings of the Eleventh International Conference on Machine Learning, pages 105-111, San Francisco, CA. Morgan Kaufmann.", '201'
"T. Robinson and F. Fallside. Dynamic reinforcement driven error propagation networks with application to game playing. In Eleventh Annual Conference of the Cognitive Science Society, 1989.", '204'
"T. Robinson and F. Fallside. Dynamic reinforcement driven error propagation networks with application to game playing. In Proceedings of the 11th Conference of the Cognitive Science Society, Ann Arbor, pages 836-843, 1989.", '204'
"P. W. Munro. A dual back-propagation scheme for scalar reinforcement learning. Proceedings of the Ninth Annual Conference of the Cognitive Science Society, Seattle, WA, pages 165-176, 1987.", '207'
"pages 107-115.  [66] P. W. Munro. A dual back-propagation scheme for scalar reinforcement learning. In Proceedings of the Ninth Annual Conference of the Cognitive Science Society, Seattle, WA, 1987.", '207'
"S. D. Whitehead. A complexity analysis of cooperative mechanisms in reinforcement learning. In Proc. AAAI-91, pages 607-613, 1991.", '210'
"S.D. Whitehead, A complexity analysis of cooperative mechanisms in reinforcement learning, Proceeding of the Ninth National Conference on Artificial Intelligence (AAAI91), 607613, 1991.", '210'
"Whitehead, S.D. (1991). A complexity analysis of cooperative mechanisms in reinforcement learning. In: Proceedings of the 9th NIPS, AAAI Press, pp. 607613.", '210'
"Whitehead, S. 1991. A complexity analysis of cooperative mechanisms in reinforcement learning. AAAI-91, 607-613.", '210'
"Whitehead, S. D. (1991). A complexity analysis of cooperative mechanisms in reinforcement learning. In: Proc. AAAI-91. pp. 607-613.", '210'
"Whitehead,S.D. (1991b). A complexity analysis of cooperative mechansims in reinforcement learning.", '210'
"Whitehead, S. (1991), A complexity analysis of cooperative mechanisms in reinforcement learning, in AAAI-91: Proceedings of the Ninth National Conference on Artificial Intelligence, AAAI Press/MIT Press.", '210'
"Whitehead, S. (1991). A complexity analysis of cooperative mechanisms in reinforcement learning. In Proceedings of the Ninth National Conference on Artificial Intelligence, pp. 607613 Anaheim, CA.", '210'
"Whitehead, S. D., 1991a. A complexity analysis of cooperative mechanisms in reinforcement learning. Proceedings of the 9th National Conference on Artificial Intelligence, 607613.", '210'
"Mahadevan, S. and J. Connell, Automatic programming of behavior-based robots using reinforcement learning. In Proc. of the Ninth National Conference on Artificial Intelligence, 1991.", '213'
"Mahadevan, S. and J. Connell, Automatic programming of behavior-based robots using reinforcement learning. In Proc. of the Ninth National Conference on Artificial Intelligence, 1991.", '213'
"Mahadevan S. & Connell, J., Automatic Programming of Behavior-Based Robots using Reinforcement Learning, In: Proceedings of the Ninth National Conference on Artificial Intelligence, MIT Press, 1991.", '213'
"Mahadevan, S. and J. Connell, Automatic programming of behavior-based robots using reinforcement learning. In Proc. of the Ninth National Conference on Artificial Intelligence, 1991.", '213'
"Long-Ji Lin. Programming robots using reinforcement learning and teaching. AAAI, 1991.", '216'
"Lin, L., Programming robots using reinforcement learning and teaching. In Proc. of the Ninth National Conference on Artificial Intelligence, 1991.", '216'
"Lin, L.J. (1991). Programming robots using reinforcement learning and teaching. In: Proceedings of the AAAI91.", '216'
"Lin, L., Programming robots using reinforcement learning and teaching. In Proc. of the Ninth National Conference on Artificial Intelligence, 1991.", '216'
"Lin, L.-J. (1991). Programming Robots Using Reinforcement Learning and Teaching. In Proceedings of the Ninth National Conference on Artificial Intelligence. MIT Press, 781-786.", '216'
"Lin, L., Programming robots using reinforcement learning and teaching. In Proc. of the Ninth National Conference on Artificial Intelligence, 1991.", '216'
"Lin, L.J. (1991). Programming robots using reinforcement learning and teaching. In: 9th International Conference on Artificial Intelligence, AAA-91.", '216'
"Mahadevan, S., and Connell, J. 1992. Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence 55(2-3):189-208.", '222'
"Mahadevan, S. & Connell, J. (1992). Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence, 55:311-365.", '222'
"S. Mahadevan and J. Connell. Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence, 55:311-365, 1992.", '222'
"S. Mahadevan and J. Connell, Automatic programming of behavior-based robots using reinforcement learning, Artificial Intelligence, 55, 311365, (1992).", '222'
"Mahadevan, S., Connel, J. (1992). Automatic programming of behavior-based robots using reinforcement learning. In: Artificial Intelligence, vol. 55.", '222'
"Mahadevan, S., & Connell, J. 1992. Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence 55:311-365.", '222'
"Mahadevan, S., and Connell, J. 1992. Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence 55(2-3):189-208.", '222'
"Mahadevan, S., and Connell, J. (1992). Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence, 55, 2, 311365.", '222'
"Mahadevan, S. & Connell, J. (1992), Automatic programming of behavior-based robots using reinforcement learning, Artificial Intelligence 55(2-3), 311-365.", '222'
"Mahadevan, S., & Connell, J. (1992). Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence, 55, 311-365.", '222'
"S. Mahedevan and J. Connell (1991). Automatic programming of behavior-based robots using reinforcement learning. Articial Intelligence. Vol 55, pp. 311-365. Elsevier.", '222'
"Mahadevan, S., and Connell, J. (1992). Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence, 55, pp.311-365.", '222'
"Mahadevan, S., & J. Connell, 1992. Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence , 55, 2, 311365. Millan, J. del R., this volume. Reinforcement learning of goal-directed obstacle-avoiding reaction st", '222'
"Mahadevan, S. and Connell, J. (1992). Automatic programming of behavior-based robots using reinforcement learning. Artificial Intelligence, 55, 2, 311365.", '222'
"Sridhar Mahadevan and Jonathan Connell. Automatic programming of behavior-based robots using reinforcement learning. Research Report RC 16359, IBM T.J. Watson Research Center, December 1990.", '225'
"S. Mahadevan and J. Connell. Automatic programming of behavior-based robots using reinforcement learning. Technical report, IBM T. J. Watson Research Center, NY 10598, 1990.", '225'
"Sridhar Mahadevan and Jonathan Connell. Scaling reinforcement learning to robotics by exploiting the subsumption architecture. In Proceedings of Machine Learning Workshop '91, July 1991.", '228'
"Sridhar Mahadevan and Jonathan Connell. Scaling reinforcement learning to robotics by exploiting the subsumption architecture. In Proceedings of the Eighth International Workshop on Machine Learning, 1991.", '228'
"Lambert Wixson. Scaling reinforcement learning techniques via modularity. In Proceedings of the Eight International Workshop on Machine Learning, pages 368-372. Morgan Kaufmann, 1991.", '231'
"Lambert E. Wixson, Scaling Reinforcement Learning Techniques via Modularity, In Proceedings of the Eighth International Workshop on Machine Learning, June 1991.", '231'
"Wixson, L. E. (1991). Scaling reinforcement learning techniques via modularity. In Birnbaum, L. A. and Collins, G. C., editors, Machine Learning: Proceedings of the Eighth International Workshop (ML91), pages 368-372. Morgan Kaufmann Publishers.", '231'
"H. R. Berenji, Refinement of Approximate Reasoning-Based Controllers by Reinforcement Learning, in: Proceedings of the Eighth International Machine Learning Workshop, Evanston, IL (1991), 475479.", '234'
"Berenji, H. R. (1991). Refinement of approximate reasoning-based controllers by reinforcement learning. Proceedings of the Eighth International Machine Learning Workshop (pp. 475-479). Evanston, IL: Morgan Kaufmann.", '234'
"Long Ji Lin. Self-improvment based on reinforcement learning, planning, and teaching. In Proceedings of the Eighth International Workshop on Machine Learning, 1991.", '237'
"Long-Ji Lin. Self-improving based on reinforcement learning, planning, and teaching. In Proceedings of the Eighth International Workshop on Machine Learning, Evanston, Illinois, 1991. Morgan Kaufmann.", '237'
"Lin, L.-J. (1992). Self-improving reactive agents based on reinforcement learning, planning, and teaching. Machine Learning, 8(3):293-321.", '240'
"Lin, L. (1992). Self-improving reactive agents based on reinforcement learning, planning, and teaching. Machine Learning, 8:293-321.", '240'
"L-J. Lin, Self-improving reactive agents based on reinforcement learning, planning and teaching, Machine Learning, 8, 293322, (1992).", '240'
"Lin, L.J. (1992). Self-improving reactive agents based on reinforcement learning, planning and teaching. In: Machine Learning, 8, pp. 293-321.", '240'
"Lin, L. 1992. Self-improving reactive agents based on reinforcement learning, planning, and teaching. Machine Learning 8:293-321.", '240'
"Lin, L. (1992). Self-Improving Reactive Agents Based on Reinforcement Learning, Planning and Teaching. Machine Learning, 8, 293-321.", '240'
"Lin, L. 1992. Self-Improving Reactive Agents Based on Reinforcement Learning, Planning and Teaching. Machine Learning, 8, 293-321.", '240'
"Lin, L. (1992). Self-improving reactive agents based on reinforcement learning, planning, and teaching. Machine Learning, 8, 293-321.", '240'
"Long-Li Lin (1992). Self-Improving Reactive Agents Based on Reinforcement Learning, Planning and Teaching. Machine Learning 8, pp. 293-321. Boston, MA: Kluwer Academic.", '240'
"L-J Lin. Self-improving reactive agents based on reinforcement learning, planning and teaching. Machine Learning, 8:293-321, 1992.", '240'
"Lin, L-J., 1992. Self-improving reactive agents based on reinforcement learning, planning and teaching. Machine Learning , 8, 3-4, 293322.", '240'
"Lin, L-J. (1992). Self-improving reactive agents based on reinforcement learning, planning and teaching. Machine Learning, 8, 3-4, 293322.", '240'
"Longji Lin. Self-improving reactive agents based on reinforcement learning, planning and teaching. machine learning, 8:293-321, 1992.", '240'
"J. H. Schmidhuber. An on-line algorithm for dynamic reinforcement learning and planning in reactive environments. In Proc. IEEE/INNS International Joint Conference on Neural Networks, San Diego, volume 2, pages 253-258, 1990.", '246'
"Williams, R. J. (1988). On the use of backpropagation in associative reinforcement learning. In Proceedings of the IEEE International Conference on Neural Networks San Diego, California.", '249'
"R. J. Williams. On the use of backpropagation in associative reinforcement learning. In IEEE International Conference on Neural Networks, San Diego, volume 2, pages 263-270, 1988.", '249'
"Lonnie Chrisman. Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In AAAI-92, 1992.", '252'
"L. Chrisman. Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proceedings of the Tenth International Conference on Artificial Intelligence, pages 183-188. AAAI Press, San Jose, California, 1992.", '252'
"Lonnie Chrisman. Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In AAAI-92, 1992.", '252'
"Chrisman, L. (1992). Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proc. Tenth National Conference on AI (AAAI).", '252'
"Chrisman, L. 1992. Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proceedings of the Tenth National Conference on Artificial Intelligence, 183-188. San Jose, California: AAAI Press.", '252'
"Chrisman, L. (1992). Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proceedings of the Tenth International Conference on Artificial Intelligence, pages 183-188. AAAI Press, San Jose, California.", '252'
"Chrisman, L. (1992). Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proceedings of the Tenth International Conference on Artificial Intelligence, pages 183-188. AAAI Press, San Jose, California.", '252'
"Lonnie Chrisman. Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proceedings of the Tenth National Conference on Artificial Intelligence, pages 183-188, San Jose, California, 1992. AAAI Press.  31", '252'
"Chrisman, L. (1992). Reinforcement learning with perceptual aliasing: The perceptual distinctions approach. In Proceedings of the Tenth International Conference on Artificial Intelligence, pages 183-188. AAAI Press, San Jose, California.", '252'
"S. Koenig and R.G. Simmons. Complexity Analysis of Reinforcement Learning. In Proceedings of the Eleventh International Conference on Artificial Intelligence (AAAI-93). MIT Press, 1993.", '255'
"Koenig, S. and Simmons, R. G. (1996). The effect of representation and knowedge on goal-directed exploration with reinforcement learnign algorithm. Machine Learning, 22:228-250.", '261'
"S. Mahadevan, Average Reward Reinforcement Learning: Foundations, Algorithms, and Empirical Results, Machine Learning, Special Issue on Reinforcement Learning (edited by Leslie Kaebling), vol. 22, pp. 159-196, 1996.", '264'
"Mahadevan, S. (1996). Average reward reinforcement learning: Foundations, algorithms, and empirical results. Machine Learning, 22(1/2/3):159-196.", '264'
"McCallum, R. A. Hidden state and reinforcement learning with instance-based state identification. IEEE Transations on Systems, Man and Cybernetics - Part B (Special issue on Learning Autonomous Robots) 26, 3 (1996).", '267'
"R.S. Sutton. (ed.), Machine Learning, 8(3/4), Special Issue on Reinforcement Learning, 1992.", '270'
"J. del R. Millan, Building Reactive Path-Finders through Reinforcement Connectionist Learning: Three Issues and An Architecture. Proc. 10th European Conf on AI, Vienna Austria, 1992.", '273'
"J. del R. Millan, Building Reactive Path-Finders through Reinforcement Connectionist Learning: Three Issues and An Architecture. Proc. 10th European Conf on AI, Vienna Austria, 1992.", '273'
"Millan, J. del R., & C. Torras, 1992. A reinforcement connectionist approach to robot path finding in non maze-like environments. Machine Learning , 8, 3-4, 363395.", '276'
"J. del R. Millan, C. Torras, A reinforcement connectionist approach to robot path finding in non-maze-like environments, Machine Learning 8, pp. 363-395, 1992.", '276'
"Whitehead, S. D., & D. H. Ballard, 1991. Learning to perceive and act by trial and error. Machine Learning , 7, 1, 4583. Whitehead, S. D., & L. J. Lin, this volume. Reinforcement learning in non-Markov environments.", '279'
"J. Schmidhuber. Reinforcement learning in Markovian and non-Markovian environments. In D. S. Lippman, J. E. Moody, and D. S. Touretzky, editors, Advances in Neural Information Processing Systems 3, pages 500-506. San Mateo, CA: Morgan Kaufmann, 1991", '282'
"J. H. Schmidhuber. Reinforcement learning in markovian and non-markovian environments. In D. Touretzky and D. S. Lippman, editors, Advances in Neural Information Processing Systems 3, in press. San Mateo, CA: Morgan Kaufmann, 1991.", '282'
"Schmidhuber, J. (1991). Reinforcement learning in Markovian and non-Markovian environments. In Lippman, D. S., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 3, pages 500-506. San Mateo, CA: Morgan Kaufmann", '282'
"Schmidhuber, J. (1991). Reinforcement learning in Markovian and non-Markovian environments. In Lippman, D. S., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 3, pages 500-506. San Mateo, CA: Morgan Kaufmann", '282'
"Schmidhuber, J. (1991c). Reinforcement learning in Markovian and non-Markovian environments. In Lippman, D. S., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 3, pages 500-506. San Mateo, CA: Morgan Kaufman", '282'
"Dayan, P. and Hinton, G. (1993). Feudal reinforcement learning. In Hanson, S. J., Cowan, J. D., and Giles, C. L., editors, Advances in Neural Information Processing Systems 5. Morgan Kaufmann Publishers, San Mateo, CA.", '285'
"P. Dayan and G. E. Hinton. Feudal Reinforcement Learning. In S. J. Hanson, J. D Cowan, and C. L. Giles, editors, Advances in Neural Information Processing Systems 5. Morgan Kaufmann, 1993.  36 A.W. MOORE AND C.G. ATKESON", '285'
"Dayan, P., & Hinton, G. E. (1993). Feudal reinforcement learning. Advances in Neural Information Processing Systems, 5.", '285'
"Dayan, P. and Hinton, G. (1993). Feudal reinforcement learning. In Lippman, D. S., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 5, pages 271-278. San Mateo, CA: Morgan Kaufmann.", '285'
"Dayan, P., & Hinton, G. (1993). Feudal reinforcement learning. In Adv. in Neural Info. Proc. Sys., 5. (pp. 271-278) Morgan Kaufmann, San Francisco, CA.", '285'
"Bradtke, S.J. (1993). Reinforcement learning applied to linear quadratic regulation. In: Advances of Neural Information Processing 5, Morgan Kaufmann, pp. 295-302.  Breiman, L., Friedman, J.H., Ohlsen, R.A., Stone, C.J.", '291'
"Bradtke, S. J (1993). Reinforcement learning applied to linear quadratic regulation. Proceedings of the Fifth Conference on Neural Information Processing Systems (pp. 295-302). Morgan Kaufmann.", '291'
"Bradtke, S. J. (1993). Reinforcement Learning Applied to Linear Quadratic Regulation. Proceedings of the 5th annual Conference on Neural Information Processing Systems .", '291'
"Bradtke, S. J. (1993). Reinforcement learing applied to linear quadratic regulation. In: S. J. Hanson, J. D. Cowan, & C. L. Giles (Eds.) Advances in Neural Information Processing Systems 5. San Mateo, CA: Morgan Kaufmann.", '291'
"S. J. Bradtke. Reinforcement learning applied to linear quadratic regulation. In Advances in Neural Information Processing Systems 5, pages 295302, San Mateo, CA, 1993. Morgan Kaufmann.", '291'
"S. J. Bradtke. Reinforcement learning applied to linear quadratic regulation. In S. J. Hanson, J. Cowan, and C. L. Giles, editors, NIPS-5. Morgan Kaufmann, 1993.", '291'
"Moore, A. W. & Atkeson, C. G. (1993). Memory-based reinforcement learning: Converging with less data and less real time. In: S. J. Hanson, J. D. Cowan, & C. L. Giles (Eds.) Advances in Neural Information Processing Systems 5. San Mateo, CA: Morgan Kaufma", '300'
"Moore, A. W. & Atkeson, C. G., (1992) Memory-based reinforcement learning: Converging with less data and less real time, In: S. J. Hanson, J. D. Cowan, & C. L. Giles (Eds.) Advances in Neural Information Processing Systems 5. San Mateo, CA: Morgan Kaufma", '300'
"Moore, Andrew W. and Atkeson, Christopher G. 1993. Memory-based reinforcement learning: Efficient computation with prioritized sweeping. In Advances in Neural Information Processing 5, San Mateo, California. Morgan Kaufmann.", '303'
"Moore, A. W. (1994). The partigame algorithm for variable resolution reinforcement learning in multidimensional state-spaces. In Neural Information Processing Systems 6, pages 711-718. Morgan Kaufmann Publishers, San Mateo, CA.", '306'
"Moore, A. W. (1994). The parti-game algorithm for variable resolution reinforcement learning in multidimensional state spaces. In Advances in Neural Information Processing Systems 6, San Mateo, CA. Morgan Kaufmann.", '306'
"Moore, A. W. (1993). The partigame algorithm for variable resolution reinforcement learning in multidimensional statespaces.. submitted to NIPS 93.", '306'
"Moore, A. W. and Atkeson, C. G. (1995). The parti-game algorithm for variable resolution reinforcement learning in multidimensional state-spaces. Machine Learning, 21, 119-223.", '309'
"A. W. Moore and C. G. Atkeson. The Parti-game Algorithm for Variable  Resolution Reinforcement Learning in Multidimensional State-spaces. Machine Learning, 21, 1995.", '309'
"Moore, A. W. & Atkeson, C. G. (1995). The Parti-game algorithm for variable resolution reinforcement learning in multidimensional state-spaces, Machine Learning, 21.", '309'
"A. W. Moore. The parti-game algorithm for variable resolution reinforcement learning in multidimensional state spaces. In S. J. Hanson, J. D. Cowan, and C. L. Giles, editors, Advances in Neural Information Processing Systems, volume 6. Morgan Kaufmann, 1", '309'
"A. W. Moore and C. G. Atkeson. The Parti-game Algorithm for Variable Resolution Reinforcement Learning in Multidimensional State-spaces. Machine Learning, 21, 1995.", '309'
"J. A. Boyan and A. W. Moore. Generalization in reinforcement learning: Safely approximating the value function. In G. Tesauro, D. S. Touretzky, and T. K. Leen, editors, Advances in Neural Information Processing Systems 7. MIT Pres", '315'
"J. A. Boyan and A. W. Moore. Generalization in Reinforcement Learning: Safely Approximating the Value Function. In Neural Information Processing Systems 7, 1995.", '315'
"J. A. Boyan and A. W. Moore. Generalization in reinforcement learning: safely approximating the value function. In Advances in Neural Information Processing Systems 7, San Mateo, CA, 1995. Morgan Kaufmann.", '315'
"J.A. Boyan and A.W. Moore. Generalization in reinforcement learning: Safely approximating the value  function. In Advances in Neural Information Processing Systems 7. Morgan Kaufmann, 1995.", '315'
"J. A. Boyan and A. W. Moore. Generalization in reinforcement learning: safely approximating the value function. In G. Tesauro and D. Touretzky, editors, Advances in Neural Information Processing Systems, volume 7. Morgan Kaufmann, 1995.", '315'
"J. A. Boyan and A. W. Moore. Generalization in reinforcement learning: safely approximating the value function. In Advances in Neural Information Processing Systems 6, San Mateo, CA, 1995. Morgan Kaufmann.", '315'
"J. A. Boyan and A. W. Moore. Generalization in reinforcement learning: Safely approximating the value function. In G. Tesauro, D. S. Touretzky, and T. K. Leen, editors, Advances In Neural Information Processing Systems 7. MIT Pres", '315'
"R. S. Sutton. Generalization in Reinforcement Learning: Successful Examples Using Sparse Coarse Coding. In D. Touretzky, M. Mozer, and M. Hasselmo, editors, Neural Information Processing Systems 8, 1996.", '318'
"R. S. Sutton. Generalization in reinforcement learning: Successful examples using sparse coarse coding. In D. Touretzky, M. Mozer, and M. Hasselmo, editors, Advances in Neural Information Processing Systems, volume 8. MIT Press, 1996.", '318'
"R.S. Sutton. Generalization in reinforcement learning: Successful examples using sparse coarse coding. To Appear in: Advances in Neural Information Processing Systems 8. MIT Press, 1996.", '318'
"R. S. Sutton. Generalization in Reinforcement Learning: Successful Examples Using Sparse Coarse Coding. In D. Touretzky, M. Mozer, and M. Hasselmo, editors, Neural Information Processing Systems 8, 1996.", '318'
"Crites R.H., Barto A.G. (1995), Improving elevator performance using reinforcement learning. Proceedings of 8th Neural Information Processing Systems Conference, Denver, Colorado.", '321'
"R. Crites and A. Barto. Improving elevator performance using reinforcement learning. In D. Touretzky, M. Mozer, and M. Hasselno, editors, Advances in Neural Information Processing Systems 8, 1996.", '321'
"R.H. Crites and A.G. Barto. Improving elevator performance using reinforcement learning. In D.S. Touretzky, M.C. Mozer, and M.E. Hasselmo, editors, Advances in Neural Information Processing Systems 8, pages 1017-1023, Cambridge MA, 1996. MIT Press.", '321'
"R. H. Crites and A. G. Barto. Improving Elevator Performance using Reinforcement Learning. In D. Touretzky, M. Mozer, and M. Hasselmo, editors, Neural Information Processing Systems 8, 1996.", '321'
"Crites, R. H., and Barto, A. G. (1996). Improving elevator performance using reinforcement learning. To appear in Advances in Neural Information Processing Systems 8, D. S. Touretzky, M. C. Mozer, M. E. Hasselmo, eds., MIT Press.", '321'
"R. Crites and A. Barto. Improving elevator performance using reinforcement learning. In D. Touretzky, M. Mozer, and M. Hasselno, editors, Advances in Neural Information Processing Systems 8, 1996.", '321'
"Crites, R. H., and Barto, A. G (1996) Improving Elevator Performance Using Reinforcement Learning, Advances in Neural Information Processing Systems 8, Touretzky, D. S., Mozer, M. C., and Hasselmo, M. E., eds., MIT Press, Cambridge, MA.", '321'
"Crites, R. H. & Barto, A. G. (1996). Improving elevator performance using reinforcement learning. In Touretzky, D., Mozer, M., & Hasselmo, M., editors, Advances in Neural Information Processing Systems (volume 8). MIT Press, Cambridge, MA.", '321'
"G. J. Gordon. Stable fitted reinforcement learning. In D. Touretzky, M. Mozer, and M. Hasselmo, editors, Advances in Neural Information Processing Systems, volume 8. MIT Press, 1996.", '324'
"S. Davies. Multidimensional Triangulation and Interpolation for Reinforcement Learning. In Neural Information Processing Systems 9, 1996. Morgan Kaufmann, 1997.", '327'
"S. Davies. Applying grid-based interpolation to reinforcement learning. In submitted Neural Information Processing Systems 9, 1996.", '330'
"H. Chung and C. Chiang, A Self-Learning and Tuning Fuzzy Logic Controller Employing Reinforcement Learning. article submitted to MITA Press, May 1994.", '333'
"Dorigo M. and L.M. Gambardella, 1995. Ant-Q: A Reinforcement Learning Approach to Combinatorial Optimization. Tech. Rep. IRIDIA/95-01, Universit Libre de Bruxelles, Belgium.", '336'
"P. Cichosz, Truncating Temporal Differences: On the Efficient Implementation of TD(lambda) for Reinforcement Learning, Journal of Artificial Intelligence Research, no. 2, pp. 286-318, 1995.", '339'
"P. Cichosz. Truncating temporal differences: On the efficient implementation of TD(>=) for reinforcement learning. JAIR, 2:287-318, 1995.", '339'
"Ming Tan. Cost sensitive reinforcement learning for adaptive classification and control. In AAAI, 1991.", '342'
"Tan, M. 1991. Cost-sensitive reinforcement learning for adaptive classification and control. In Proceedings of the Ninth National Conference on Artificial Intelligence.", '342'
"Lin, L. (1993). Scaling up reinforcement learning for robot control. In Machine Learning: Proceedings on the Tenth International Conference, (pp. 182-189), Amherst, MA.", '345'
"Lin, L. 1993. Scaling up reinforcement learning for robot control. Proc. 10th Intl. ML Conf., 182-189.", '345'
"Lin, L. (1993). Scaling up reinforcement learning for robot control. In Proceedings of the Tenth International Conference on Machine Learning, pp. 182-189 Amherst, MA.", '345'
"Lin, L-J. (1993b). Scaling up reinforcement learning for robot control. Proceedings of the Tenth International Conference on Machine Learning, Morgan Kaufmann, 182189.", '345'
"S.D. Whitehead and D. H. Ballard. Active perception and reinforcement learning. Neural Computation, 2(4):409-419, 1990.", '348'
"Whitehead S. & Ballard D., Active Perception and Reinforcement Learning, In: Proceedings of the Seventh International Conference on Machine Learning, Austin, Texas, 1990.", '348'
"Whitehead, S. and Ballard, D. H. (1990). Active perception and reinforcement learning. Neural Computation, 2(4):409-419.", '348'
"M. L. Littman and C. Szepesvari. A generalized reinforcement-learning model: Convergence and applications. In L. Saitta, editor, Machine Learning: Proceedings Of The Thirteenth International Conference (this volume). Morgan", '351'
"M. L. Littman and C. Szepesvari. A generalized reinforcement-learning model: Convergence and applications. In L. Saitta, editor, Machine Learning: Proceedings of the Thirteenth International Conference. Morgan Kaufmann, 199", '351'
"Whitley, D., Dominic, S. and Das, R. (1991). Genetic Reinforcement Learning with Multilayer Neural Networks. Proceedings of the Fourth International Conference on Genetic Algorithms, pp. 562-569. Morgan Kaufmann.", '354'
"D. Whitley, S. Dominic, and R. Das. Genetic reinforcement learning with multilayer neural networks. In Proceedings of the Fourth International Conference on Genetic Algorithms, pages 562-569. Morgan Kaufmann, 1991.", '354'
"J. H. Schmidhuber. Reinforcement learning with interacting continually running fully recurrent networks. In Proc. INNC International Neural Network Conference, Paris, volume 2, pages 817820, 1990.", '357'
"Storck, J., Hochreiter, S., and Schmidhuber, J. (1995). Reinforcement driven information acquisition in nondeterministic environments. In Proceedings of the International Conference on Artificial Neural Networks, volume 2, pages 159-164. EC2 & Cie, Paris", '360'
"Graham, D. P. W. and D'Eleuterio, G. M. T. (1994). CMAC Manipulator Control Using a Reinforcement Learned Trajectory Planner In Marinaro, M. and Morasso, P. G.(Hrsg.), Proceedings of the International Conference on Artificial Neural Networks (ICANN-94),", '363'
"R. Maclin and J. Shavlik, Incorporating advice into agents that learn from reinforcements, in Proceedings of the Twelfth National Conference on Artificial Intelligence, (Seattle, WA), pp. 694-699, AAAI/MIT Press, 1994.", '369'
"Maclin, R., & Shavlik, J. (1994). Incorporating advice into agents that learn from reinforcements. In Proceedings of the Twelfth National Conference on Artificial Intelligence, pp. 694-699 Seattle, WA.", '369'
"Maclin, R., & Shavlik, J. 1994. Incorporating advice into agents that learn from reinforcements. Technical Report 1227, CS Dept., Univ. of Wisconsin-Madison.", '372'
