@relation "citeseer-constraint"

@attribute reference string
@attribute class {'594', '279', '198', '51', '54', '57', '201', '120', '600', '204', '123', '603', '522', '360', '207', '126', '606', '525', '444', '363', '282', '129', '609', '528', '447', '366', '285', '369', '288', '63', '64', '66', '69', '210', '3', '213', '132', '6', '612', '531', '450', '216', '135', '9', '615', '534', '453', '372', '291', '219', '138', '618', '537', '456', '375', '294', '459', '378', '297', '72', '75', '78', '300', '303', '222', '141', '621', '540', '306', '225', '144', '624', '543', '462', '381', '309', '228', '147', '627', '546', '465', '384', '549', '468', '387', '81', '84', '87', '312', '150', '630', '315', '234', '153', '552', '471', '390', '318', '237', '156', '555', '474', '393', '159', '558', '477', '396', '12', '399', '15', '18', '90', '93', '99', '402', '240', '321', '405', '162', '243', '324', '480', '408', '165', '327', '564', '483', '168', '249', '567', '486', '21', '489', '24', '411', '330', '414', '171', '252', '333', '334', '570', '417', '174', '255', '336', '573', '492', '177', '258', '339', '576', '495', '30', '579', '498', '33', '36', '39', '102', '501', '420', '105', '504', '423', '180', '108', '261', '342', '507', '426', '183', '264', '345', '582', '429', '186', '267', '348', '585', '189', '588', '42', '45', '48', '111', '510', '114', '513', '432', '117', '270', '351', '516', '435', '192', '273', '354', '591', '438', '519', '276', '357'}


@data
"J. R. Quinlan. Comparing connectionist and symbolic learning methods. In S. J. Hanson, G. A. Drastal, and R. L. Rivest, editors, Computational Learning Theory and Natural Learning Systems, volume 1: Constraints and Prospects, chapter 15, pages 44", '300'
"J. R. Quinlan. Comparing connectionist and symbolic learning methods. In Computational Learning Theory and Natural Learning Systems, Constraints and Prospects. MIT Press, 1992.", '300'
"Epstein, S. L. (1992), Hard Questions about Easy Tasks - Issues from Learning to Play Games, in Computational Learning Theory and Natural Learning Systems: Constraints and Prospects, Cambridge, MA: MIT Press. To appear.", '303'
"Jude Shavlik. Integrating explanatory and neural approaches to machine learning. In Computational Learning Theory and Natural Learning Systems, Constraints and Prospects. MIT Press, 1992.", '306'
"John, M. S. and McClelland, J. (1992). Parallel constraint satisfaction as a comprehension mechanism. In Reilly, R. and Sharkey, N., editors, Connectionist Approaches to Natural Language Processing, pages 97-136. Lawrence Erlbaum Associates, Hove, U.K.", '309'
"Francoise Darses. The constraint satisfaction approach to design: A psychological investigation. In Gerrit C. van der Veer, Sebastiano Bagnara, and Gerard A. M. Kempen, editors, Cognitive Ergonomics: Contributions from Experimental Psychology, Graphic", '312'
"Novick, L.R., & Tversky, B. (1987). Cognitive constraints in ordering operations: The case of geometric analogies. Journal of Experimental Psychology: General, 116, 50-67.", '315'
"Girosi, F., Verri, A., Torre, V., Constraints for the Computation of Optical Flow, Proceedings of  the IEEE Workshop on Visual Motion, Irvine, CA, pp. 116-124, 1989.", '318'
"Girosi F., Verri A. and Torre V. 1989. Constraints for the computation of optic flow. In DARPA Image understanding workshop. pp. 116-124.", '318'
"Barwise, J. (1993) Constraints, channels, and the flow of information. In P. Aczel, D. Israel, Y. Katagiri and S. Peters, eds., Situation Theory and its Applications, Vol.3, pp. 3-27. Stanford, Ca.: Center for the Study of Language and Informaiton.", '321'
"Jon Barwise. Constraints, channels, and the flow of information. In Peter Aczel, David Israel, Yasuhiro Katagiri, and Stanly Peters, editors, Situation Theory and its Applications, volume 3, pages 3-27. Stanford, California, 1993.", '321'
"Ugo Montanari. Networks of constraints: fundamental properties and applications to picture processing. Information Science, 7:95-132, 1974.", '324'
"Montanari, U. 1974. Networks of constraints: Fundamental properties and applications to picture processing. Information Science 7:95-132.  Price, P. J.; Fischer, W.; Bernstein, J.; and Pallett, D.", '324'
"Bistarelli, S.; Montanari, U.; and Rossi, F. 1995. Constraint Solving over Semirings. In Proc. of IJCAI-95, 624630.", '327'
"A. Kelly, A. Macdonald, K. Marriott, H. Sndergaard, P. Stuckey, and R. Yap. An optimizing compiler for CLP(R). In U. Montanari and F. Rossi, editors, Principles and Practice of Constraint ProgrammingCP'95, Lecture Notes in Computer Science 976, pag", '330'
"U.Montanari,F.Rossi Graph rewriting for a partial ordering semantics of concurrent constraint programming , Th.Comp.Sci.109(1993)225-256", '333'
"F.Rossi,U.Montanari Concurrent semantics for concurrent constraint programs in", '334'
"Gert Smolka. A foundation for concurrent constraint programming. In Constraints in Computational Logics, volume 845 of LNCS, pages 50-72. Springer Verlag, September 1994.", '336'
"Smolka, G. (1992). Feature-constraint logics for unification grammars. Journal of Logic Programming, 12(1):51-87.", '339'
"J. Jaffar and M. J. Maher. Constraint logic programming: A survey. The Journal of Logic Programming, 19 & 20:503-581, 1994.", '342'
"R. Bagnara. On the Detection of Implicit and Redundant Numeric Constraints in CLP Programs. In Joint Conference on Declarative Programming (GULP-PRODE'94), pages 312>=326, Pescola, Spain, September 1994.", '345'
"Abdul Sattar Aditya K. Ghose and Randy Goebel. Default reasoning as partial constraint satisfaction. In Proc. of the Sixth Australian Joint Conference on AI, 1993.", '348'
"J. Gaschnig. A constraint satisfaction method for inference making. In Proceedings of the 12th Annual Allerton Conference on Circuit and System Theory, University of Illinois, Urbana-Champaign, USA, Oct. 1974.", '351'
"Y. Wu, S.S. Iyengar, R. Jain, and S. Bose. A new generalized framework for finding object orientation using perspective trihedral angle constraint. IEEE T-PAMI, 16(10):961 - 975, October 1994.", '354'
"Y. Wu, S. S. Iyengar, R. Jain, and S. Bose. A new generalized computational framework  for finding object orientation using perspective trihedral angle constraint. IEEE Trans.  on Pattern Analysis and Machine Intelligence, 16(10):961-975, Oct 1994.", '354'
"Schunck, B., Image Flow Segmentation and Estimation by Constraint Line Clustering, IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 11, no.10, pp. 1010-1027, 1989.", '357'
"Schunck, B., Image Flow Segmentation and Estimation by Constraint Line Clustering, IEEE Transactions on Pattern Recognition and Machine Intelligence, vol. 11, no.10, pp. 1010-1027, 1989.", '357'
"Ouzden Guur-Ali and William A. Wallace. Induction of rules subject to a quality constraint: Probabilistic inductive learning. IEEE Trans. on Knowldge and Data Eng., 5(6):979-984, December 1993. Special Issue on Learning and Discovery in Knowledge-bas", '360'
"Conry, S. E.; Kuwabara, K.; Lesser, V. R.; and Meyer, R. A. 1991. Multistage negotiation for distributed constraint satisfaction. IEEE Transactions on Systems, Man, and Cybernetics 21(6). (Special Issue on Distributed AI).", '363'
"Richard A. DeMillo and A. Jefferson Offutt. Constraint based automatic test data generation. IEEE Transactions on Software Engineering, 17(9):900-910, September 1991.", '366'
"T. E. Smith and D. E. Setliff. Knowledge-based constraint-driven software synthesis. In Proceedings of the Seventh Conference on KnowledgeBased Software Engineering, 1992.", '369'
"P. Codognet and G. Fil. Computations, Abstractions and Constraints (abstract). In Billaud et al.", '372'
"pages 70>=71.  [100] P. Codognet and G. Fil. Computations, Abstractions and Constraints in Logic Programs. In Proceedings of the IEEE International Conference on Computer Languages, ICCL'92. IEEE Press, 1992.", '372'
"W. Ward, S. Young: Flexible Use of Semantic Constraints in Speech Recognition, IEEE International Conference on Acoustics, Speech and Signal Processing, Minneapolis, 1993, Vol. 2, pp. 49-50", '375'
"W. Ward, S. Young: Flexible Use of Semantic Constraints in Speech Recognition, IEEE International Conference on Acoustics, Speech and Signal Processing, Minneapolis, 1993, Vol. 2, pp. 49-50", '375'
"Murre, J.M.J. (1993). Transputers and neural networks: an analysis of implementation constraints and performance. IEEE Transactions on Neural Networks, 4, 2, 284-292.", '378'
"P. W. Hollis, J. S. Harper, and J. J. Paulos. The effects of precision constraints in a backpropagation learning network. Neural Computation, 2:363-373, 1990.  RRR 34-95 Page 19", '381'
"Hollis, P.W., J.S. Harper, J.J. Paulos (1990). The Effects of Precision Constraints in a Backpropagation Learning Network. Neural Computation, 2, 262-373.", '381'
"Ratcliff, R. (1990). Connectionist models of recognition memory: constraints imposed by learning and forgetting functions. Psychological Review, 97, 285-308.", '384'
"W. E. L. Grimson. Object Recognition by Computer: The role of geometric constraints. The MIT Press, Cambridge, 1990.", '387'
"W. E. L. Grimson, Object Recognition by Computer: The role of geometric constraints. MIT Press, Cambridge, 1990.", '387'
"Shieber S.M. (1992): Constraint-Based Grammar Formalisms: Parsing and Type Inference for Natural and Computer Languages. The MIT Press, Cambridge, Mass.", '390'
"Shieber SM (1992) Constraint-Based Grammar Formalisms: Parsing and Type Inference for Natural and Computer Languages. The MIT Press, Cambridge, Mass.", '390'
"Nerbonne, J. (1992). Constraint-based semantics. In Dekker, P., and Stokhof, M., editors, Proceedings of the 8th Amsterdam Colloquim, 425-445. University of Amsterdam. The Netherlands.", '393'
"Smolensky, P., Bell, B., Fox, B., King, R. and Lewis, C. (1987). Constraint-based hypertext for argumentation. Proceedings of Hypertext87. pp.215-245. New York, ACM.", '396'
"V.A. Saraswat, M. Rinard, and P. Panangaden. Semantic foundations of concurrent constraint programming. In Proceedings of the POPL '91 Conference, pages 333-352. ACM Press, 1991.", '399'
"P. Codognet, editor. Proceedings of the First International Workshop on Concurrent Constraint Programming (CCP'95), C Dolon, Venice, Italy, May 1995. Informal Proceedings.", '402'
"T. Sjfiland and D. Sahlin. Derivation of Tpe and Alias Information for a Concurrent Constraint Language. Submitted to CCP'95, February 1995.", '405'
"Harper, M. P., and Helzerman, R. A. 1995a. Extensions to constraint dependency parsing for spoken language processing. Computer Speech and Language 9(3):187-234.", '408'
"Harper, M. P., and Helzerman, R. A. 1995b. Managing multiple knowledge sources in constraint-based  parsing spoken language. Fundamenta Informaticae 23(2,3,4):303-353.  Harper, M. P.; Helzerman, R. A.; Zoltowski, C. B.; Yeo, B. L.; Chan, Y.; Stewart, T.;", '411'
"Rulot, H.; Vidal, E. 1987. Modelling (sub)string-length based constraints through a Gramatical Inference method. NATO ASI Series, Vol. F30 Pattern Recognition Theory and Applications, pp. 451-459. Springer-Verlag.", '414'
"B.Mayoh, E.Tyugu, J.Penjam (eds:) Constraint programming NATO ASI Series F, Vol. 131, Springer 1994", '417'
"Wallace, R. 1994. Directed Arc Consistency Preprocessing. In Constraint Processing (Lecture Notes in Computer Science 923). Springer. 121137.", '420'
"Paredis, J.: Co-evolutionary Constraint Satisfaction. PPSN 1994, Lecture Notes in Computer Science vol. 866.", '423'
"Koen van der Hauw, Evaluating and Improving Steady State Evolutionary Algorithms on Constraint Satisfaction Problems, Master Thesis, IR-96-21, July 1996.", '426'
"Kumar, V. (1992). Algorithms for constraint satisfaction problems: A survey. AI Magazine, 13:32-44.", '429'
"Kumar, V. (1992). Algorithms for constraint satisfaction problems: A survey. AI Magazine, 13 (1), 32-44.", '429'
"Kumar, V. 1992. Algorithms for constraint satisfaction problems. AI Magazine 13.", '429'
"V. Kumar. Algorithms for constraint satisfaction problems. AI Magazine, 13, 1992.", '429'
"V. Kumar. Algorithms for constraint satisfaction problems. AI Magazine, 13, 1992.", '429'
"P. Prosser. Hybrid Algorithms for the Constraint Satisfaction Problem. Computational Intelligence, 9(3):268-299, 1993.  44", '432'
"P. Prosser. Hybrid algorithms for the constraint satisfaction problem. Computational Intelligence, 9:268-299, 1993.", '432'
"R. M. Haralick and G. L. Elliot. Increasing tree search efficiency for constraint satisfaction problems. Artificial Intelligence, 14:263313, 1980.  15", '435'
"Haralick, R., and Elliot, G. (1980). Increasing tree search efficiency for constraint satisfaction problems. Artificial Intelligence, 14(3):263-313.", '435'
"R. Haralick and G. Elliott. Increasing tree search efficiency for constraint satisfaction problems. Artificial Intelligence, 14:263-313, 1980.", '435'
"Haralick, R. M. and Elliot, G. L. (1980). Increasing tree search efficiency for constraint satisfaction problems. Artificial Intelligence, 14:263-313.", '435'
"Haralick, R., and Elliot, G. 1980. Increasing Tree Search Efficiency for Constraint Satisfaction Problems. Artificial Intelligence 14(3):263313.", '435'
"R. Dechter and J. Pearl. Network-based heuristics for constraintsatisfaction problems. Artificial Intelligence, 34:1-38, 1988.", '438'
"R. Dechter and J. Pearl. Network-based heuristics for constraint satisfaction problems. Artificial Intelligence, 34:1-38, 1988.", '438'
"R. Dechter and J. Pearl, NetworkBased Heuristics for ConstraintSatisfaction Problems, Artificial Intelligence 34, 1 (December 1987), pp. 138.", '438'
"E. J. Horvitz. Reasonong abount beliefs and actions under computational resource constraints. In Proceedings of the Third Workshop on Uncertainty in Artificial Intelligence, pages 301-324, Seattle, WA, 1987. Morgan Kaufmann.", '444'
"Horvitz, Eric J. 1988. Reasoning under varying and uncertain resource constraints. In Proceedings AAAI-88. AAAI. 111-116.", '447'
"(1995a). Planning under time constraints in stochastic domains. To appear in Artificial Intelligence.  Dean, T., Kanazawa, K., Koller, D., and Russell, S.", '450'
"Thomas Dean, Leslie Pack Kaelbling, Jak Kirman, and Ann Nicholson. Planning under time constraints in stochastic domains. Artificial Intelligence, 76(1-2):35-74, 1995.", '450'
"Stefik, M. 1981. Planning with constraints (MOLGEN: Part 1). Artificial Intelligence 16:111-140.", '453'
"Stefik, M. 1981. Planning with constraints (MOLGEN: Part 1). Artif. Intel. 16:111-140.", '453'
"M. St. John and J. McClelland, Learning and applying contextual constraints in sentence comprehension, Artificial Intelligence 46, 1-2 (1990), pp. 217-257.", '456'
"M. F. St. John and J. L. McClelland. Learning and applying contextual constraints in sentence comprehension. Artificial Intelligence, 46(1-2):217-257, 1990.", '456'
"St. John, M. F., and McClelland, J. L. 1990. Learning and applying contextual constraints in sentence comprehension. Artificial Intelligence 46:217-257.", '456'
"Newport, E.L. (1990). Maturational constraints on language learning.     Cognitive Science,    14:1128.  Nosofsky, R.M. (in press). Exemplars, prototypes, and similarity rules. In A. Healy, S. Kosslyn, & R. Shiffrin (Eds.),     From learning theory to co", '459'
"Helen Tager-Flusberg. Constraints on language acquisition. Hillsdale, NJ, 1994.", '462'
"Markman, E. M. (1994). Constraints on Word Meaning in Early Language", '465'
"T.G. Masters. Observational constraints on the chemical and thermal structure of the Earth's deep interior. Geophys. J. R. Astron. Soc., 57:507-534, 1979.", '468'
"J. GRANT & B.E. JACOBS, On the family of generalized dependency constraints, JACM 29:4, 986-997.", '471'
"B. Nebel. Solving hard qualitative temporal reasoning problems: Evaluating the efficiency of using the ORD-Horn class. Constraints, 3(1), pp.175-190, 1997.", '474'
"C. Lawrence, J. Zhou, and A. Tits. User's guide for CFSQP version 2.3: A C code for solving (large scale) constrained nonlinear (minimax) optimization problems, generating iterates satisfying all inequality constraints. Technical", '477'
"L. Craig, J. Zhou, and A. Tits. User's guide for CFSQP version 2.1: A C code for solving (large scale) constrained nonlinear (minimax) optimization problems, generating iterates satisfying all inequality constraints. Technical Report", '477'
"C. Lawrence, J. Zhou, and A. Tits. User's guide for CFSQP version 2.3: A C code for solving (large scale) constrained nonlinear (minimax) optimization problems, generating iterates satisfying all inequality constraints. Technical", '477'
"Z.-Q. Luo, J.-S. Pang, D. Ralph, and S.-Q. Wu. Exact penalization and stationarity conditions of mathematical programs with equilibrium constraints. Technical Report 275, Communications Research Laboratory, McMaster University, Hamilton, Ontario, Ha", '480'
"Z.-Q. Luo, J.-S. Pang, and D. Ralph. Mathematical Programs with Equilibrium Constraints. Cambridge University Press, Cambridge, England, 1996.  10", '483'
"Z.-Q. LUO, J.-S. PANG, D. RALPH, and S.-Q. WU, 1996. Mathematical Programs with Equilibrium Constraints, Mathematical Programming 75, 19-76.", '486'
"O. Etzioni, S. Hanks, T. Jiang and O. Madani. Optimal Information Gathering on the Internet with Time and Cost Constraints. Manuscript 1996.", '489'
"M. Garey. Optimal task scheduling with precedence constraints. Discrete Mathematics, 4, 37-56 (1973).", '492'
"D. Gillies and J. Liu. Scheduling tasks with AND/OR precedence constraints. SIAM J. Comput., 24(4):797-810, 1995.", '495'
"D. Gillies and J. Liu. Scheduling tasks with AND/OR precedence constraints. SIAM J. Comput., 24(4):797-810, 1995.", '495'
"D. Gillies. Algorithms to schedule tasks with AND/OR precedence constraints. Ph.D. thesis, University of Illinois, Urbana, IL, 1991.", '498'
"D. Gillies. Algorithms to schedule tasks with AND/OR precedence constraints. Ph.D. thesis, University of Illinois, Urbana, IL, 1991.", '498'
"Moussouris J. (1974). Gibbs and Markov Random Systems with Constraints. J. of Statistical Physics 10, 11-33.", '501'
"Cari~nena J F, Ra~nada M F 1993 Lagrangian systems with constraints. J. Physics A. 26:1335-1351", '504'
"Francesco Ricci. Constraint reasoning with learning automata. International Journal of Intelligent Systems, 9(12):1059-1082, December 1994.", '507'
"M. Johnston and S. Minton, Analyzing a Heuristic Strategy for Constraint Satisfaction and Scheduling, in Intelligent Scheduling, Morgan Kaufman, San Francisco, 1994.", '510'
"Omohundro, S. M. (1991). Bumptrees for Efficient Function, Constraint, and Classification Learning. In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors, Advances in Neural Information Processing Systems 3. Morgan Kaufmann.", '513'
"S. M. Omohundro. Bumptrees for Efficient Function, Constraint, and Classification Learning. In R. P. Lippmann, J. E. Moody, and D. S. Touretzky, editors, Advances in Neural Information Processing Systems 3. Morgan Kaufmann, 1991.  37", '513'
"Y. Zhang and A. K. Mackworth. Constraint nets: A semantic model for real-time embedded systems. Technical Report TR 92-10, UBC, Vancouver, B.C., May 1992.", '516'
"T. G. Dietterich. Constraint Propagation Techniques for theory-driven data interpretation. PhD thesis, Stanford University, 1984.", '522'
"A. Borning. ThingLab: A Constraint Programming System. PhD thesis, Stanford University, 1985.", '525'
"E. Zaoeanella, G. Levi, and R. Giacobazzi. Abstracting Synchronization in Concurrent Constraint Programming. In Hermenegildo and Penjam", '528'
"Bouma, G. and van Noord, G (1994) `Constraint-based categorial grammar', Proceedings of the 32nd Assoc. for Computational Linguistics, Las Cruces, NM, pp. 147-154.", '531'
"Fred Karlsson. Parsing and constraint grammar. unpublished ms., Research Unit for Computational Linguistics, Helsinki, Finland, 1989.", '534'
"Jappinen, Harri; Lahtola, Aarno; and Valkonen, Kari. (1986). Functional structures for parsing dependency constraints. In Proceedings, COLING86, 461-463.", '537'
"Rssler, O.E. (1972) Design for autonomous chemical growth under different environmental constraints. In R. Rosen and F.M. Snell (eds.) Progress in Theoretical Biology.", '540'
"R. Kelly, V. Santiba~nez and H. Berghuis, Global regulation for robot manipulators under actuator constraints, Report, CICESE, Mexico, August 1994.", '543'
"N go, J. T., and Marks, J. Spacetime constraints revisited. In Computer Graphics, Annual Conference Series, 1993 (August 1993),  Siggraph, pp. 343-350.", '546'
"Witkin, Andrew and Michael Kass. Spacetime Constraints, Computer Graphics, 22(4):159-168, August 1988.  12", '549'
"Witkin, A., and Kass, M. Spacetime constraints. Computer Graphics 22, 4 (August 1988), 159-168.", '549'
"Kass, M. Condor: Constraint based dataflow. Computer Graphics 26, 2 (July 1992), 321-330.", '552'
"Andreas Eisele. Towards probabilistic extensions of constraint-based grammars. Deliverable r1.2.b, DYANA-2, September 1994.", '555'
"Sabin, D., and Freuder, E. 1994. Contradicting Conventional Wisdom in Constraint Satisfaction. In Proc. of ECAI-94, 125129.", '558'
"D. Sabin and E. Freuder. Contradicting Conventional Wisdom in Constraint Satisfaction. In A. Cohn, editor, Proceedings ECAI94, pages 125-129, 1994.", '558'
"E.C. Freuder. Eliminating interchangeable values in constraint satisfaction. In AAAI Proceedings, 1991.", '564'
"Holyoak, K. J. & Thagard, P. (1989). Analogical mapping by constraint satisfaction, Cognitive Science 13: 295-355.", '567'
"P. Meseguer. Constraint satisfaction problems: An overview. AI Communications, 2(1):317, Mar. 1989.", '570'
"B. Nadel. Constraint satisfaction algorithms. Comput. Intell., 5:188224, 1989.", '573'
"E. Tsang. Foundations of Constraint Satisfaction. Academic Press, 1993.", '576'
"Wijnen, F., Krikhaar, E., and den Os, E. (1993). The (non)realization of unstressed elements in children's utterances: a rhythmic constraint. In Press.", '579'
"Maxwell J.T., Kaplan R.M. (1993): The Interface between Phrasal and Functional Constraints. Computational Linguistics 19, 571590.", '582'
"Maxwell JT, Kaplan RM (1993) The Interface between Phrasal and Functional Constraints. Computational Linguistics 19: 571-590.", '582'
"K. Marriott and P. J. Stuckey. Approximating Interaction between Linear Arithmetic Constraints. In Bruynooghe", '585'
"J.-L. Lassez and K. McAloon. A canonical form for generalised linear constraints. Journal of Symbolic Computation, 13(1):1-24, Jan. 1992.", '588'
"J.-L. Lassez and K. McAloon. A canonical form for generalised linear constraints. Journal of Symbolic Computation, 13(1):1-24, Jan. 1992.", '588'
"M. Hanus. Compile-time analysis of nonlinear constraints in clp(r). New Generation Computing, 13(2):155>=186, 1995.", '591'
"R. Bagnara. Constraint Systems for Pattern Analysis of Constraint Logic>=Based Languages. In Codognet", '594'
"H. Maruyama. Constraint dependency grammar  and its weak generative capacity. Computer Software, 1990.", '600'
"H. Maruyama. Constraint dependency grammar and its weak generative capacity. Computer Software, 1990.", '600'
"H. Maruyama. Constraint dependency grammar.  Technical Report #RT0044, IBM, Tokyo, Japan, 1990.", '603'
"Maruyama, H. 1990. Constraint dependency grammar. Technical Report #RT0044, IBM, Tokyo, Japan.", '603'
"H. Maruyama. Constraint dependency grammar. Technical Report #RT0044, IBM, Tokyo, Japan, 1990.", '603'
"A. Meisels. On resource allocation constraint networks, 1996. In Preparation, March 1996.", '606'
"Brent, M. R., & Cartwright, T. A. (1996). Distributional Regularity and Phonotactic Constraints are Useful for Segmentation. In press.", '609'
"F. Glover. Heuristics for integer programming using surrogate constraints. Decision Sciences, 8:156-166, 1977.", '612'
"F. Glover. Heuristics for integer programming using surrogate constraints. Decision Sciences, 8:156-166, 1977.", '612'
"F. Glover. Heuristics for integer programming using surrogate constraints. Decision Sciences, 8:156-166, 1977.", '612'
"De Raedt, L. and Bruynooghe, M. (1992). Belief updating from integrity constraints and queries. Artificial Intelligence, 53:291-307.", '615'
"A. Heydon. Specifying and checking unix security constraints. In Proceedings of the 3rd USENIX Security Symposium, September 1992.", '618'
"Ngo, J. Thomas and Joe Marks. Spacetime Constraints Revisited, Proceedings of Siggraph 93, pp. 343350.", '621'
"S. Bell. Deciding distinctness of query results by discovered constraints. Manuscript.", '624'
"Yoon, K.B. and Coyne, R.D. (1992). Reasoning about spatial constraints, Environment and Planning B 19: 243-266.", '627'
"Coppock, R. (1984). Social Constraints on Technological Progress. Aldershot, UK: Gower.", '630'
