@relation "citeseer-reasoning"

@attribute reference string
@attribute class {'279', '198', '600', '603', '522', '441', '360', '606', '525', '444', '363', '282', '609', '528', '447', '366', '285', '369', '288', '3', '6', '612', '531', '450', '615', '534', '453', '372', '291', '618', '537', '456', '375', '294', '459', '378', '297', '702', '621', '540', '705', '624', '543', '462', '381', '708', '627', '546', '465', '384', '549', '468', '387', '711', '630', '714', '633', '552', '471', '390', '634', '717', '636', '555', '474', '393', '639', '558', '477', '396', '12', '399', '15', '18', '801', '720', '804', '723', '642', '561', '480', '807', '726', '645', '564', '483', '729', '648', '567', '486', '21', '489', '24', '27', '810', '813', '732', '651', '570', '816', '735', '654', '573', '492', '819', '738', '657', '576', '495', '30', '579', '498', '33', '36', '39', '102', '105', '900', '108', '903', '822', '741', '660', '906', '825', '744', '663', '582', '909', '828', '747', '666', '585', '40', '669', '42', '45', '48', '111', '114', '117', '912', '831', '750', '915', '834', '753', '672', '591', '918', '837', '594', '675', '756', '597', '678', '759', '51', '54', '57', '120', '201', '123', '204', '126', '207', '921', '840', '129', '924', '843', '681', '762', '927', '846', '684', '765', '849', '687', '768', '60', '63', '66', '69', '210', '132', '213', '135', '216', '138', '219', '852', '690', '771', '855', '774', '858', '696', '777', '699', '72', '75', '78', '300', '141', '222', '303', '144', '225', '306', '147', '228', '309', '861', '780', '864', '783', '867', '786', '789', '81', '84', '87', '150', '231', '312', '153', '234', '315', '156', '237', '318', '159', '873', '792', '876', '795', '879', '798', '90', '96', '99', '400', '402', '321', '240', '403', '324', '243', '162', '327', '165', '408', '168', '882', '885', '888', '330', '411', '333', '252', '171', '414', '336', '255', '174', '417', '339', '258', '177', '891', '894', '897', '420', '501', '342', '423', '504', '345', '264', '183', '426', '507', '185', '348', '186', '429', '189', '510', '432', '513', '354', '192', '435', '357', '276', '195', '438', '519'}


@data
"Kolodner, J. L. 1993. Case-Based Reasoning. Morgan Kaufmann.", '195'
"Janet L. Kolodner. Case-Based Reasoning. Morgan Kaufmann, 1993.", '195'
"CBR-91,Proceedings from the Case-Based Reasoning Workshop, Washington D.C., May 8-10, 1991. Sponsored by DARPA. Morgan Kaufmann.", '195'
"Janet L. Kolodner. Case-Based Reasoning. Morgan Kaufmann, 1993.", '195'
"Kolodner, J. (1993) Case-based Reasoning, Morgan Kaufmann.", '195'
"J. Kolodner: Case-based reasoning. Morgan Kaufmann. 1993.", '195'
"J. Kolodner, Case-based reasoning (Morgan Kaufmann, 1993).", '195'
"J. L. Kolodner, Case-Based Reasoning. Morgan Kaufmann, 1993.", '195'
"Bruce Porter. Similarity assessment; Computation vs. representation. In Proceedings from the Case-Based Reasoning Workshop, Pensacola Beach, Florida, May-June 1989. Sponsored by DARPA. Morgan Kaufmann, 1989. pp 82-84.", '198'
"Burstein-89 Mark H. Burstein: Analogy vs. CBR; The purpose of mapping. Proceedings from the Case-Based Reasoning Workshop, Pensacola Beach, Florida, May-June 1989. Sponsored by DARPA. Morgan", '201'
"Burstein, M. (1989). Analogy vs. cbr; the purpose of mapping. In Proceedings from the Case-Based Reasoning Workshop, 133-136. Sponsored by DARPA, Morgan Kaufmann.", '201'
"Branting, K. (1989). Integrating generalizations with exemplar-based reasoning. In Proceedings from the Case-Based Reasoning Workshop, Pensacola Beach, Florida, 224-229. DARPA, Morgan Kaufmann.", '204'
"Karl Branting. Exploiting the complementarity of rules and precedents with reciprocity and fairness. In: Proceedings from the Case-Based Reasoning Workshop 1991, Washington DC, May 1991. DARPA. Morgan Kaufmann, 1991. pp 39-50.", '207'
"Branting-91 Karl Branting: Exploiting the complementaryity of rules and precedents with reciprocity and fairness. In: Proceedings from the Case-Based Reasoning Workshop 1991, Washington DC, May 1991. Sponsored by", '207'
"T. Cain, M. J. Pazzani, and G. Silverstein. Using domain knowledge to influence similarity judgments. In Proceedings of the Case-Based Reasoning Workshop, pages 191-199, Washington, DC, 1991. Morgan Kaufmann.", '210'
"Cain, T., Pazzani, M. J., & Silverstein, G. (1991). Using domain knowledge to influence similarity judgement. In Proceedings of the Case-Based Reasoning Workshop (pp. 191-202). Washington, DC: Morgan Kaufmann.", '210'
"Cain, T., Pazzani, M. J., and Silverstein, G. (1991) Using domain knowledge to influence similarity judgements. Proceedings of the Case-Based Reasoning Workshop, (pp. 191 - 198). Washington, D.C., U.S.A.", '210'
"Aha, D. W. (1991). Case-based learning algorithms. In Proceedings of the DARPA Case-Based Reasoning Workshop (pp. 147-158). Washington, D.C.: Morgan Kaufmann.", '213'
"H. R. Berenji, Refinement of Approximate Reasoning-Based Controllers by Reinforcement Learning, in: Proceedings of the Eighth International Machine Learning Workshop, Evanston, IL (1991), 475479.", '216'
"Berenji, H. R. (1991). Refinement of approximate reasoning-based controllers by reinforcement learning. Proceedings of the Eighth International Machine Learning Workshop (pp. 475-479). Evanston, IL: Morgan Kaufmann.", '216'
"Genesereth, M. 1991. Knowledge interchange format. Principles of Knowledge Representation and Reasoning: Proceedings of the Second International Converence. Morgan Kaufmann.", '219'
"Tze-Yun Leong. Multiple perspective reasoning. In Proceedings of the 1996 International Conference on Knowledge Representation. Morgan Kaufmann, 1996.", '222'
"S. J. Rosenschein. Synthesizing information-tracking automata from environment descriptions. In Proceedings of Conference on Principles of Knowledge Representation and Reasoning, Toronto, Canada, 1989.", '225'
"Russell, S. and Wefald, E. 1989. Principles of Metareasoning. the 1st International Conference on Principles of Knowledge Representation and Reasoning, pp. 400-411.", '228'
"S. Russell and E. Wefald, Principles of Metareasoning, Proceedings of the First International Conference on Principles of Knowledge Representation and Reasoning, Toronto, Ontario, Canada, May 1989, pp. 400411.", '228'
"Abu-Hakima, S. and Brezillon, P., Principles for the application of context in diagnostic problem solving, in Working notes of the IJCAI-95 workshop on Modelling context in knowledge representation and reasoning, eds. Brezillon, P. and Ab", '231'
"D. Poole, R. Goebel, and R. Aleliunas. Theorist: A logical reasoning system for defaults and diagn osis. In N.J. Cercone and G. McCalla, editors, The Knowledge Frontier: Essays in the Representat ion of Knowledge, pages 331-352. Spri", '234'
"David Poole, Randy Goebel, and Romas Aleliunas. Theorist: a logical reasoning system for defaults and diagnosis. In N.J. Cercone and G. McCalla, editors, The Knowledge Frontier: Essays in the Representation of Knowledge, pages 331-352. Springer Verl", '234'
"Robert Wilensky. Some problems and proposals for knowledge representation. In Janet L. Kolodner and Christopher K. Riebeck, editors, Experience, Memory, and Reasoning, pages 15-28. Lawrence Erlbaum Associates, New Jersey, 1986.", '237'
"Roger Schank: Explanation; a first pass. In J.L. Kolodner, C.K. Riesbeck (eds.): Experience, memory and reasoning. Lawrence Erlbaum, 1986. pp. 139-165.", '240'
"C. Riesbeck, R. Schank. Inside Case-Based Reasoning. Lawrence Erlbaum Associates, New Jersey, 1989.", '243'
"C. Riesbeck and R. Schank, Inside Case-based reasoning. (Lawrence Erlbaum, 1989).", '243'
"In Inside Case-based Reasoning, C.K. Riesbeck and R. C. Schank, eds. (pp. 319392). Lawrence Erlbaum Associates, Hillsdale, N.J.", '243'
"Reisbeck, C. K., and Schank, R. C. (1989). Inside Case-Based Reasoning. Hillsdale: Lawerence Erlbaum Associates.", '243'
"Riesbeck, C. K. and R. S. Schank. Inside Case-based Reasoning. Hillsdale, NJ: Erlbaum Assoc., 1989.", '243'
"C. K. Riesbeck and R. S. Schank. Inside case based reasoning. Hillsdale, NJ: Lawrence Earlbaum Assoc., 1989.", '243'
"Reisbech, C. & Schank, R.: Inside the Case-Based Reasoning, Lawrence Elbaum Associates (1990).", '243'
"Reisbech, C. & Schank, R.: Inside the Case-Based Reasoning, Lawrence Elbaum Associates (1990).", '243'
"Reisbech, C. and Schank, R.: Inside the Case-Based Reasoning, Lawrence Elbaum Associates (1990).", '243'
"Reisbech, C. & Schank, R.: Inside the Case-Based Reasoning, Lawrence Elbaum Associates (1990).", '243'
"Maher, M. L., Balachandran, M. B. & Zhang, D. (1995). Case-Based Reasoning in Design, Lawrence Erlbaum, Hillsdale, NJ.", '252'
"M.L. Maher, M. Balachandran and D. Zhang, Case-Based Reasoning in Design, Lawrence Erlbaum, Hillsdale, NJ, 1995.", '252'
"Maher, M. L., M. B. Balachandran, & D. M. Zhang (1995). Case-Based Reasoning in Design. Hillsdale, NJ: Lawrence Erlbaum Associates.", '252'
"Kolodner, J. L. (1984); Retrieval and Organizational Strategies in Conceptual Memory: A computer model; Lawrence Erlbaum Associates, Publishers, Hillsdale, NJ.  Kolodner, J. L. (to appear); Case-Based Reasoning; Morgan Kaufmann Publishers.", '255'
"Masand, B.; Linoff, G.; and Waltz, D. 1992. Classifying news stories using memory based reasoning. In 15th Ann Int ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR 92), 59-64.", '258'
"Masand, B.; Linoff, G.; and Waltz, D. 1992. Classifying News Stories unsing Memory Based Reasoning. In Proc. of the 15th SIGIR.", '258'
"Brij Masand, Gordon Linoff, and David Waltz. Classifying news stories using memory based reasoning. In SIGIR, pages 5965, 1992.", '258'
"Masand, B.; Linoff, G.; and Waltz, D. 1992. Classifying news stories using memory based reasoning. In Proceedings of ACM/SIGIR, 59-65.  McCune, B.; Tong, R.; Dean, J.; and Shapiro, D.", '258'
"B. Masand, G. Linoff, and D. Waltz. Classifying news stories using memory based reasoning. In Proceedings of the 15th Annual ACM/SIGIR Conference, pages 59-65, 1992.", '258'
"Stanfill, C., & Waltz, D. (1986). Toward memory-based reasoning. Communications of the ACM, 29 (12), 1213-1228.", '264'
"Stanfill, C. & Waltz, D. (1986) Toward Memory-based Reasoning. Communications of the ACM 29, 12, pp. 1213-1228.", '264'
"Stanfill, C., and Waltz, D. 1986. Toward memorybased reasoning. Communications of the ACM 29(12):1213-1228.", '264'
"C. Stanfill and D. Waltz. Toward memory-based reasoning. Communications of the ACM, 29:1213-1228, 1986.", '264'
"Stanfill, C., & Waltz, D. (1986). Toward memory-based reasoning. Communications of the Association for Computing Machinery, 29, 1213-1228.", '264'
"Stanfill, C., and Waltz, D. 1986. Toward MemoryBased Reasoning. Communications of the ACM 29(12):1213-1228.", '264'
"C. W. Stanfill and D. Waltz. Toward memory-based reasoning. Communications of the ACM, 29:12, 1213-1228, 1986.", '264'
"Stanfill, C. & Waltz, D. (1986). Toward memorybased reasoning. Communications of the ACM, 29 (12), 1213-1228.", '264'
"Waltz D. Stanfill C. Toward memory-based reasoning. Communications of the ACM, 29, 1213-1228, 1992.", '264'
"Stanfill, C., & Waltz, D. (1986). Toward memory-based reasoning. Communications of the ACM, 29, 1213-1228.", '264'
"C. Stanfill and D. Waltz, Toward memory-based reasoning. Communications of the Association for Computing Machinery, 29, 1213-1228, 1986.", '264'
"Stanfill, C. and D. L. Waltz. Toward Memory-based Reasoning. Communications of the ACM, Vol. 29, 12, 1986.", '264'
"C. Stanll and D. Waltz. Towards memorybased reasoning. Communications of the ACM, 29(12):12131228, 1986.", '264'
"C. Stanfill and D. Waltz. Towards memory-based reasoning. Communications of the ACM, 29(12):12131228, December 1986.", '264'
"Craig Stanfill and David Waltz. Toward memory-based reasoning. Communication of ACM, 29:1213-1229, 1986.", '264'
"Stanfill, C. & Waltz, D.: Toward Memory-Based Reasoning. CACM, Vol.29, No.12 (1991) 185-192.", '264'
"Stanfill, C. & Waltz, D.: Toward Memory-Based Reasoning. CACM, Vol.29, No.12 (1991) 185-192.", '264'
"Stanfill, C. and Waltz, D.: Toward Memory-Based Reasoning. CACM, Vol.29, No.12 (1991) 185-192.", '264'
"Stanfill, C. & Waltz, D.: Toward Memory-Based Reasoning. CACM, Vol.29, No.12 (1991) 185-192.", '264'
"C. W. Stanfill. Memory-based reasoning applied to English pronunciation. Proceedings AAAI-87, Seattle, WA, 577-581, 1987.", '276'
"Stanfill, C. (1987). Memory-based reasoning applied to English pronunciation. In Proceedings of the Sixth National Conference on Artificial Intelligence, pp. 577-581.", '276'
"Michael P. Georgeff and Amy L. Lansky. Reactive reasoning and planning. In Proceedings of the Sixth National Conference on Artificial Intelligence, pages 677-682, Seattle, WA, 1987.", '279'
"M. Georgeff and A. Lansky, Reactive Reasoning and Planning, In Proc. AAAI-87, pp. 677-682, 1987.", '279'
"Georgeff, M., and Lansky, A. Reactive Reasoning and Planning. Proc. of AAAI87, pp. 677-682, Seattle, WA, 1987.", '279'
"Georgeff, M.P. & Lansky, A.L. 1987. Reactive Reasoning and Planning. Proc. of the Sixth National Conf. on AI, Seattle, WA.", '279'
"T. Nishida and S. Doshita. Reasoning about discontinuous change. In Proc. of the Sixth National Conference on Artificial Intelligence, pages 643648, 1987.", '282'
"Marc B. Vilain and Henry A. Kautz. Constraint propagation algorithms for temporal reasoning. In Proceedings of the 5th National Conference of the American Association for Artificial Intelligence, pages 377-", '285'
"VILAIN, M., KAUTZ, H., and VAN BEEK, P. Constraint propagation algorithms for temporal reasoning: A revised report. In Weld and de Kleer [22]. Revised version of a paper that appeared in Proceedings of AAAI 1986, pp. 377-382.", '288'
"Peter van Beek and Dennis W. Manchak. The design and experimental analysis of algorithms for temporal reasoning. Journal of Artificial Intelligence Research, 4:1-18, 1996.  16", '291'
"Van de Velde, W. (1991). Reasoning, behaviour, and learning: A knowledge level perspective. In Proceedings of AISB 91. Society for the study of Artificial Intelligence and the simulation of behaviour.", '294'
"W --van de Velde, W (1990), Reasoning, Behavior and learning: A knowledge-level perspective . Proc. of Cognitiva 90, pp. 451-463. Madrid 20-23 Nov. 1990.", '297'
"V. L. Shalin, E. J. Wisniewski, K. R. Levi, and P. D. Scott. A formal analysis of machine learning systems for knowledge acquisition. In Machine Learning and Uncertain Reasoning, volume 3 of Knowledgebased systems, pages 75-92. 1990.", '300'
"Kuncicky, D. C. (1991), Isomorphism of Reasoning Systems with Applications to Autonomous Knowledge Acquisition. PhD Dissertation (R. C. Lacher, Major Professor), Florida State University, Tallahassee, FL.", '303'
"Lacher, R. C., Hruska, S. I., and Kuncicky, D. C. (1991), Expert networks: a neural network connection to symbolic reasoning systems, Proceedings FLAIRS 91 (M. B. Fishman, ed.), Florida AI Research Society, St. Petersburg, FL, pp. 12-16.", '306'
"C. Perneel, J.-M. Renders, J.-M. Themlin, and M. Acheroy, Fuzzy reasoning and neural networks for decision making problems in uncertain environments, in Proceedings of the Third IEEE Conference on Fuzzy Systems, vol. II, pp. 1111-1125, 1994.", '309'
"S. Zilberstein. Meta-Level Control of Approximate Reasoning: A Decision Theoretic Approach. To appear in Proceedings of the Eighth International Symposium on Methodologies for Intelligent Systems, Charlotte, North Carolina, October 1994. Will be a", '312'
"FREKSA, C. and ZIMMERMANN, K. On the utilization of spatial structures for cognitively plausible and efficient reasoning. In Procs. of the 1992 IEEE International Conference on Systems, Man, and Cybernetics Proceedings, Chicago., 1992.", '315'
"cognitively plausible and efficient reasoning. In Procs. of the 1992 IEEE International Conference on Systems, Man, and Cybernetics Proceedings, Chicago.", '315'
"H. Nawab, V. Lesser, E. Milios, Diagnosis Using the Underlying Theory of a Signal Processing System, IEEE Transactions on Systems, Man and Cybernetics. Special Issue on Diagnostic Reasoning. May/June 1987.", '318'
"E. Hudlicka, and V. Lesser, Modeling and Diagnosing Problem-Solving System Behavior, IEEE Transactions on Systems, Man and Cybernetics. Special Issue on Diagnostic Reasoning. May/June 1987.", '321'
"I. B. Turksen, Z. Zhong (1988). An approximate analogical reasoning approach based on similarity measures. Trans. on Systems, Man and Cybernetics.", '324'
"Plaza, E (1992), Reflection for analogy: Inference-level-reflection in an architetcure for analogical reasoning. Proc. IMSA92 Workshop on Reflection and Metalevel Architectures, Tokyo, November 1992, p. 166-171.", '327'
"J. L. Crowley. Mathematical foundations of navigation an perception for an autonomous mobile robot. In L. Dorst, editor, Reasoning with Uncertainty in Robotics. Springer Verlag, 1996.", '330'
"Crowley, J. (1995). Mathematical Foundations of Navigation and Perception for an Autonomous Mobile Robot. Pages 9-51 of: Proceedings of the International Workshop on Reasoning with Uncertainty in Robotics. Springer-Verlag.", '330'
"Hebert, P., Betge-Brezetz, S., & Chatila, R. (1995). Probabilistic Map Learning: Necessity and Difficulties. Pages 307-321 of: Proceedings of the International Workshop on Reasoning with Uncertainty in Robotics. Springer-Verlag.", '333'
"Dorst, L., van Lambalgen, M., & Voorbraak, F. (eds). (1995). Proceedings of the International Workshop on Reasoning with Uncertainty in Robotics. Springer-Verlag.", '336'
"McCarragher, B. J. (1994) Force Sensing from Human Demonstration using a Hybrid Dynamic Model and Qualitative Reasoning, Proc. 1994 IEEE Int'l Conf. on Robotics and Automation, San Diego.", '339'
"Farquhar, A., and Brajnik, G. 1994. A semi-quantitiative physics compiler. In Proceedings of the Eighth International Workshop on Qualitative Reasoning.", '342'
"Armengol, E. and Plaza, E. (1994b), Integrating Induction in a Case-based Reasoner. Proceedings of the Second European Workshop on Case-based Reasoning. Chantilly (France). pp. 243-251.", '345'
"M. Manago, K.-D. Althoff, E. Auriol, R. Traphoener, S. Wess, N. Conruyt, and F. Maurer, Induction and reasoning from cases. in: M. M. Richter, S. Wess, K.-D. Althoff & F. Maurer (eds.), Proc. 1st European Workshop on Case-Based Reasoning (EWCBR-93),", '348'
"M. Redmond, Learning from Others' Experience: Creating Cases from Examples, Proc. of the Second Case-Based Reasoning Workshop, Pensacola Beach, FL, May 1989, pp. 309-312.", '354'
"Kolodner, J. 1989. Judging which is the best case for a case-based reasoner. In Proc. of 2nd Case-Based Reasoning Workshop, 77-81.", '357'
"Brown, B. and Lewis, L. (1991): A case-based reasoning solution to the problem of redundant resolutions of non-conformances in large scale manufacturing. In: R. Smith, C. Scott (eds.): Innovative Applications for Artificial Intelligence 3. MIT Press.", '360'
"M. Rayner. On the applicability of nonmonotonic logic to formal reasoning in continuous time. Artificial Intelligence, 49(1-3):345360, 1991.", '363'
"Farquhar, A.; Kuipers, B.; Rickel, J.; Throop, D.; and The Qualitative Reasoning Group. 1991. QSIM: The program and its use. Technical Report AI90123, Artificial  Intelligence Laboratory, University of Texas at Austin, Austin, Texas 78712.", '366'
"Gamback, B.; Rayner, M.; and Pell, B. 1993. Pragmatic reasoning in bridge. Technical Report 299, Computer Laboratory, University of Cambridge.", '369'
"Veloso, M. M. 1992. Learning by Analogical Reasoning in General Problem Solving. Ph.D. Dissertation, School of Computer Science, Carnegie Mellon University, Pittsburgh, PA. Available as technical report CMU-CS-92-174.", '372'
"Veloso, M. M. (1992). Learning by Analogical Reasoning in General Problem Solving. PhD thesis, School of Computer Science, Carnegie Mellon University, Pittsburgh, PA. Available as technical report CMU-CS-92-174.", '372'
"Grosof, B. and S. Russell. 1989. Shift of bias as nonmonotonic reasoning. IBM Research Report Number RC 14620 (#64608).  Gross, K. Forthcoming. Ph.D. thesis, Carnegie-Mellon University, Pittsburgh, PA.", '375'
"R. Letz, J. Schumann, S. Bayerl, and W. Bibel. SETHEO: A HighPerformance Theorem Prover. Journal of Automated Reasoning, 8(2):183-212, 1992.", '378'
"R. Letz, J. Schumann, S. Bayerl, and W. Bibel. SETHEO, A High-Performance Theorem Prover. to appear in Journal of Automated Reasoning, 1991. available as Technical Report TUM-I9008 from Technical University Munich.", '378'
"R. Letz, J. Schumann, S. Bayerl, and W. Bibel. SETHEO, A High-Performance  13  Theorem Prover. to appear in Journal of Automated Reasoning, 1991. available as Technical Report TUM-I9008 from Technical University Munich.", '378'
"B. Fronhofer and F. Kurfess. Cooperative Competition: A Modest Proposal Concerning the Use of Multi-Processor Systems for Automated Reasoning. Technical Report ATP-74-VII-87, Institut fur Informatik, Technische Universitat Munchen, 1987.", '381'
"B. Fronhofer and F. Kurfess. Cooperative competition: A modest proposal concerning the use of multi-processor systems for automated reasoning. Technical Report ATP-74-VII-87, Institut fur Informatik, Technische Universitat Munchen, 1987.", '381'
"Rohrig, R. (1993). CYCORD: a theory of qualitative spatial reasoning. Technical report LKI-M-93/6, Labor fur Kunstliche Intelligenz, Universitat Hamburg, Hamburg, Germany.", '384'
"V.S. Subrahmanian, S. Adali, A. Brink, R. Emery, J. Lu, A. Rajput, T. Rogers, R. Ross, and C. Ward. HERMES: A heterogeneous reasoning and mediator system. Technical report, University of Maryland, 1995.  25", '387'
"J. W. Shavlik. Case-based reasoning with noisy case boundaries: An application in molecular biology. Technical Report 988, University of Wisconsin, Madison, WI, 1990.", '390'
"Schmitt, G. N. (1993). Case-based reasoning in an integrated design and construction system, Management of Information Technology for Construction, World Scientic Publishing Co. Pte. Ltd,  EVOLVING REPRESENTATIONS OF DESIGN CASES 27  Singapore, pp. 45346", '393'
"Arcos, J. L., and Plaza, E. (1993), A Reflective Architecture for Integrated Memory-based Learning and Reasoning, In S. Wess, K.D. Althoff, M.M. Richter (Eds.), Topics in Case-Based Reasoning. Lecture Notes in Artificial Intelligence, 837, p. 289", '396'
"Brner, K (1994), Structural similarity as a guidance in case-based design. In S Wess, K D Althoff, M M Richter (Eds.) Topics in Case-Based Reasoning, Lecture Notes in Artificial Intelligence, Vol. 837, p.197-208. Springer-Verlag 1994.", '399'
"Bunke, H and Messmer, B T (1994), Similarity measures for structured representations. In S Wess, K D Althoff, M M Richter (Eds.) Topics in Case-Based Reasoning, p. 106-118. Lecture Notes in Artificial Intelligence 837, Springer Verlag.", '400'
"Case-based reasoning. Springer Verlag, 1994, pp 274-288.", '402'
"A. Aamodt: Explanation-driven case-based reasoning, In S. Wess, K. Althoff, M. Richter (eds.):Topics in Case-based reasoning. Springer Verlag, 1994, pp 274-288.", '403'
"A. Aamodt, Explanation-driven case-based reasoning, in: S. Wess, K. Althoff, M. Richter (eds.):Topics in Case-based reasoning. Springer Verlag, 1994, pp 274-288.", '403'
"Aamodt, A., Explanation-driven case-based reasoning, In S. Wess, K. Althoff, M. Richter (eds.): Topics in Case-based reasoning. Springer Verlag, 1994. pp 274-288.", '403'
"A.M. Richter, S. Weiss. Similarity, uncertainty and case-based reasoning in PATDEX. In R.S. Boyer (ed.): Automated reasoning, essays in honour of Woody Bledsoe. Kluwer, 1991, pp. 249-265.", '408'
"K P Jantke (1993), Nonstandard concepts of similarity in case-based reasoning. Proceedings of the 17th Annual Conference of the Gesellllschaft fr Klassifikation e.V.. Kaiserslautern, March 1993. Springer Verlag.", '411'
"Golledge, R.G. (1992). Do people understand spatial concepts: The case of firstorder primitives. Theories and Methods of Spatio-Temporal Reasoning in Geographic Space. Frank, A.U., Campari, I., & Formentini, U. (Eds.). Berlin: Springer-Verlag.", '414'
"Freundschuh, S.M. (1992). Is there a relationship between spatial cognition and environmental patterns. Theories and Methods of Spatio-Temporal Reasoning in Geographic Space. Frank, A.U., Campari, I., & Formentini, U. (Eds.). Berlin: Springer-Verlag.", '417'
"Frank, A. U., Campari, I., and Formentini, U. (Eds.). (1992). Theories and Methods of Spatio-Temporal Reasoning in Geographic Space. Intl. Conf. GIS|From Space", '420'
"FRANK, A. U., CAMPARI, I., and FORMENTINI, U., editors. Theories and Methods of Spatio-Temporal Reasoning in Geographic Space. Intl. Conf. GIS|From Space to Territory. Pisa, Sept. 1992, volume 639 of Lecture Notes in Computer Science, Berlin, 1992. S", '420'
"Frank, A. U., Campari, I., and Formentini, U. (Eds.). (1992). Theories and Methods of Spatio-Temporal Reasoning in Geographic Space. Intl. Conf. GIS|From Space", '420'
"Frank, A. U., Campari, I., and Formentini, U., editors (1992). Theories and Methods of Spatio-Temporal Reasoning in Geographic Space. Intl. Conf. GIS|From Space to Territory, Pisa, Volume 639 of Lecture Notes in Computer Science. Springer, Berlin.", '420'
"B. Chandrasekaran and N. Narayanan. Towards a theory of commonsense visual reasoning. In K. Nori and C. Madhavan, editors, Foundations of Software Technology and Theroretical Computer Science, Tenth Conference, Lecture Notes in Computer Science, page", '423'
"EGENHOFER, M. Reasoning about binary topological relations. In Second Symposium on Large Spatial Databases, volume 525 of Lecture Notes in Computer Science. Springer-Verlag, 1991.", '426'
"Egenhofer, M. J. (1991). Reasoning about binary topological relations. In Second Symposium on Large Spatial Databases, Vol. 525 of Lecture Notes in Computer Science. Springer-Verlag.", '426'
"M.J. Egenhofer. Reasoning about binary topological relations. In Proc. SSD'91, LNCS 525, pp.143160. Springer, 1991.", '426'
"Egenhofer, M. J. (1991). Reasoning about binary topological relations. In Gunther, O. and Schek, H.-J., editors, Advances in Spatial Databases, Second Symposium on Large Spatial Databases, Volume 525 of Lecture Notes in Computer Science, pages 143-160. S", '426'
"M. Haraguchi and S. Arikawa. Reasoning by Analogy as a Partial Identity between Mo dels. In K.P. Jantke, editor, Analogical and Inductive Inference, volume 265 of Lecture Notes in Computer Science, pages 61-87. Springer-Verlag, New York, 1987.", '429'
"T. Winkler. Programming in OBJ and Maude. In P. E. Lauer, editor, Functional Programming, Concurrency, Simulation and Automated Reasoning, Lecture Notes in Computer Science 693, pages 229-277. Springer-Verlag, Berlin, 1993.", '432'
"M. Codish, M. Garca de la Banda, M. Bruynooghe, and M. Hermenegildo. Goal Dependent vs Goal Independent Analysis of Logic Programs. In F. Pfenning, editor, Fifth International Conference on Automated Reasoning (LPAR'94), volume 822 of Lecture Notes", '435'
"M. S. Verma. Syntax-directed concept analysis in the reasoning foundations of human hair comparisons. In Proceedings of the International Symposium on Forensic Hair Comparisons, pages 151-152. FBI Academy; Quantico, VA, June 25-27, 1985, U.", '438'
"Aditya K. Ghose and Randy Goebel. Default reasoning as belief change: A rationale. In Proc. of the 2nd Pacific Rim Int'l Conf. on AI, 1992.", '441'
"Abdul Sattar Aditya K. Ghose and Randy Goebel. Default reasoning as partial constraint satisfaction. In Proc. of the Sixth Australian Joint Conference on AI, 1993.", '444'
"D. Etherington, S. Kraus, and D. Perlis. Nonmonotonicity and the scope of reasoning: Preliminary report. In Proc. 8th Nat. Conf. on A.I., pages 600-607, July 1990.", '447'
"David W. Etherington, Alex Borgida, Ronald J. Brachman, and Henry Kautz. Vivid knowledge and tractable reasoning: Preliminary report. In Proceedings of IJCAI89, pages 1146-52, 1989.", '450'
"Brachman, R. J., Gilbert, V.P. & Levesque, H. J. An essential hybrid reasoning system: knowledge and symbol level accounts of KRYPTON. Proceedings of IJCAI85. pp.547-551. Morgan Kaufmann, 1985.", '453'
"Levesque, H. J. and Brachman, R. J. (1985). A fundamental tradeoff in knowledge representation and reasoning. In Brachman, R. J. and Levesque, H. J., editors, Readings in Knowledge Representation, chapter 4, pages 41-70. Morgan Kaufmann, San Mateo.", '456'
"James F. Allen. Temporal reasoning and planning. In James F. Allen, Henry A. Kautz, Richard N. Pelavin, and Josh D. Tenenberg, editors, Reasoning about Plans, chapter 1, pages 1-67. Morgan Kaufmann, San Mateo, CA, 1991.", '459'
"Crawford, J. M., and Kuipers, B. J. 1991. ALL: formalizing acess-limited reasoning. In Sowa, J., ed., Principles of Semantic Networks. San Mateo, CA: Morgan Kaufman. 299330.", '462'
"Glenn Shafer and Judea Pearl. Readings in Uncertain Reasoning. Morgan  Kaufmann, San Mateo, CA, 1990.", '465'
"Ginsberg, M. (1987). Readings in Nonmonotonic Reasoning. Morgan Kaufmann Publishers.", '468'
"M. Ginsberg, editor. Readings in Nonmonotonic Reasoning. Morgan Kaufmann, San Mateo, CA, 1987.", '468'
"Ginsberg, M., ed. 1987. Readings in Nonmonotonic Reasoning. San Mateo, CA: Morgan Kaufmann.", '468'
"Matthew L. Ginsberg. Readings in Nonmonotonic Reasoning. Morgan Kaufmann,  San Mateo, CA, 1987.", '468'
"M. Ginsberg, editor. Readings in Nonmonotonic Reasoning. Morgan Kaufmann, Los Altos, 1987.", '468'
"M. Ginsberg, editor. Readings in Nonmonotonic Reasoning. Morgan Kaufmann, San Mateo, CA, 1987.", '468'
"WELD, D. S. and DE KLEER, J., editors. Readings in Qualitative Reasoning about Physical Systems. Morgan Kaufmann, San Mateo, CA, 1990.", '471'
"Forbus, K. 1990. The qualitative process engine. In Weld, D., and de Kleer, J., eds., Readings in Qualitative Reasoning about Physical Systems. Los Altos, CA: Morgan Kaufman.", '471'
